spec,dv,subsample,k,estimate,se,z,p_value,ci_lo,ci_hi,tau2,i2,q,q_p,estimate_pp
Baseline (p=3),gini,"Cointegrated, p <= 0.05",16,-0.10278647097988006,3.5701284690422272,-0.02879069251181737,0.9770315241039883,-7.100109690483766,6.894536748524006,144.89334078678178,94.68747266292009,286.2647566892969,3.9682287396022654e-52,-0.0010278647097988005
Baseline (p=3),gini,"Cointegrated, p <= 0.10",23,-0.8823595008132921,2.2078428967464916,-0.399647774809317,0.6894159630910458,-5.209652061959001,3.444933060332416,81.14337516481442,96.23793549344504,396.56082492304654,2.1052303779714463e-70,-0.008823595008132921
Baseline (p=3),p90p100,All countries,68,-0.011936279922412934,0.009882268933495822,-1.2078481169395288,0.22710568941448553,-0.031305171117603794,0.007432611272777926,0.00360874024305724,83.88389042964965,269.5349307791262,4.202401017468619e-26,-0.011936279922412934
Baseline (p=3),p90p100,"Cointegrated, p <= 0.05",17,-0.005824066182612504,0.022934919029726546,-0.253938815962846,0.7995428266292677,-0.05077568146921885,0.03912754910399384,0.00572696012443526,88.99083378438091,90.78629239138385,1.791854419610644e-12,-0.005824066182612504
Baseline (p=3),p90p100,"Cointegrated, p <= 0.10",25,-0.010332188610070177,0.017977103416449373,-0.5747415682448619,0.56546608993766,-0.045566663852662906,0.024902286632522547,0.004892352882613997,86.60356466179466,133.6072901518031,3.434465367560767e-17,-0.010332188610070177
Baseline (p=3),p99p100,All countries,68,0.004065982581074514,0.005477743072828284,0.7422733280871375,0.4579217483679967,-0.006670196558232689,0.014802161720381717,9.33466240042636e-4,83.71445864557722,215.71116545763437,1.5916735524047945e-17,0.004065982581074514
Baseline (p=3),p99p100,"Cointegrated, p <= 0.05",22,0.06245852335049563,0.0327056860239491,1.9097145158416702,0.056169980948997465,-0.0016434433461195927,0.12656049004711084,0.01816703274452173,98.74525852726032,139.54517878922516,1.6645259675783912e-19,0.06245852335049563
Baseline (p=3),p99p100,"Cointegrated, p <= 0.10",30,0.03974397041896752,0.021630086094987604,1.8374393076584883,0.06614506848823781,-0.0026502193097088025,0.08213816014764383,0.010987865231272405,98.50532851950989,169.47457241422566,8.686663496800793e-22,0.03974397041896752
Composition,gini,All countries,36,-0.40277797214085537,1.1735889250848537,-0.343201919796349,0.7314465605087661,-2.702969997962244,1.8974140536805333,27.81756898911731,87.2623269041441,151.0880032279924,2.2613188026228313e-16,-0.004027779721408554
Composition,gini,"Cointegrated, p <= 0.05",13,0.7993166089614295,2.2061629757642436,0.3623107711181382,0.7171198100067364,-3.5246833675621994,5.123316585485059,35.236175002079705,83.34908936534492,74.65080001453698,4.2770677720655874e-11,0.007993166089614295
Composition,gini,"Cointegrated, p <= 0.10",19,0.8479807856044694,1.7677554656584538,0.47969348819895374,0.631445358894111,-2.6167562605599315,4.312717831768871,33.54853394492184,81.25205580383782,104.29374649690124,3.596194400055498e-14,0.008479807856044694
Composition,p90p100,All countries,57,8.550035708923881e-4,0.0090733220848068109,0.09423269260154263,0.9249243153711191,-0.016928380935460837,0.018638388077245615,0.0024764587880704942,85.49178252209533,181.24118298095186,4.008499303304704e-15,8.550035708923881e-4
Composition,p90p100,"Cointegrated, p <= 0.05",17,0.015419390577698852,0.020684882874082502,0.7454424891628879,0.45600426597047206,-0.02512223487993221,0.055961016035329915,0.0057408556501886195,93.803196898322,96.20064140241813,1.7762406803096084e-13,0.015419390577698852
Composition,p90p100,"Cointegrated, p <= 0.10",24,0.010519343502961614,0.01969975222601486,0.53398354366458,0.5933529196253114,-0.02809146136439027,0.0491301483703135,0.005689378155453107,91.51966631784688,107.57888802114871,6.735191036768023e-13,0.010519343502961614
Composition,p99p100,All countries,52,0.0021664698868176543,0.005800521963818648,0.37349567854948795,0.708779561043301,-0.00920234425380044,0.01353528402743575,7.681547080161949e-4,84.66507019934647,176.92465816188042,8.427901899874142e-16,0.0021664698868176543
Composition,p99p100,"Cointegrated, p <= 0.05",22,0.004687650790738826,0.005821220303272484,0.8052694360499627,0.42066421507721236,-0.006721731349748571,0.016097032931226222,2.911749294209485e-4,73.15101167310141,64.60156881766017,2.5080549511711688e-6,0.004687650790738826
Composition,p99p100,"Cointegrated, p <= 0.10",29,-8.437390680516021e-4,0.006155926220147518,-0.13706127037230526,0.8909823652618046,-0.012909132751026524,0.01122165461492332,4.568905163923905e-4,77.40940130526818,88.3947845231462,3.525001003076738e-8,-8.437390680516021e-4
