spec,dv,country,income_group,variable,sum_beta,sum_phi,longrun_multiplier,se,t_stat,p_value,ci_lo,ci_hi
Baseline (p=2),gini,Colombia,Lower middle income,life_exp,0.030167187902894736,0.9803908908324074,1.53842725057348,7.027420932706163,0.21891776020040582,0.8282475506140647,-12.834262348741014,15.911116849887975
Baseline (p=2),gini,Colombia,Lower middle income,gdp_x_debt,42.531163598947536,0.9803908908324074,2168.949299809983,5561.704366245104,0.3899792504207329,0.6994015196751693,-9206.013330813385,13543.91193043335
Baseline (p=2),gini,Costa Rica,Upper middle income,public_debt,-0.03304765015710673,0.9106308244938675,-0.36978801661697086,12.6640933709287,-0.029199722853105674,0.9769124382551004,-26.311007321989134,25.57143128875519
Baseline (p=2),gini,Costa Rica,Upper middle income,growth,0.9925398702238373,0.9106308244938675,11.106064978251128,53.10314066376789,0.2091413961477567,0.8358520051909222,-97.67078760916849,119.88291756567074
Baseline (p=2),gini,Costa Rica,Upper middle income,life_exp,0.13308440383748893,0.9106308244938675,1.489153313586927,0.3801963100328601,3.916801069053565,5.249948325220933e-4,0.7103564768314174,2.2679501503424366
Baseline (p=2),gini,Costa Rica,Upper middle income,gdp_x_debt,0.9339985780397599,0.9106308244938675,10.45101482418475,180.045254780978,0.05804659965572673,0.9541237922161894,-358.35497091551497,379.2570005638845
Baseline (p=2),gini,Cyprus,High income,public_debt,-0.4254628059047314,1.0109974493338267,38.68740768789565,424.6193103515689,0.09111080618510713,0.9280771439181272,-832.5594511782664,909.9342665540577
Baseline (p=2),gini,Cyprus,High income,growth,2.3894592949363735,1.0109974493338267,-217.2739534781674,2498.3522556251023,-0.08696690108008977,0.9313395963849108,-5343.469352487106,4908.921445530771
Baseline (p=2),gini,Cyprus,High income,life_exp,0.03177045880827469,1.0109974493338267,-2.888893400995525,31.916716338055718,-0.09051349049811147,0.9285473268140216,-68.37658596926315,62.59879916727209
Baseline (p=2),gini,Cyprus,High income,gdp_x_debt,-2.806896838725202,1.0109974493338267,255.2316226719544,2935.3322052088574,0.08695152876360511,0.9313517011516879,-5767.57257198295,6278.035817326858
Baseline (p=2),gini,Denmark,High income,public_debt,-3.1807510112728568,0.9415915606846584,-54.45704505303227,71.03467737259889,-0.7666262038101221,0.44910285140638095,-199.33322471487838,90.41913460881386
Baseline (p=2),gini,Denmark,High income,growth,-44.101897097199085,0.9415915606846584,-755.0603579578145,969.857525635477,-0.7785270908354074,0.4421606412478959,-2733.097822580119,1222.9771066644898
Baseline (p=2),gini,Denmark,High income,life_exp,0.040941110676741624,0.9415915606846584,0.7009451229419861,0.7103706693648666,0.9867315095775171,0.33141364878793456,-0.7478654091532764,2.1497556550372483
Baseline (p=2),gini,Denmark,High income,gdp_x_debt,75.86372575342894,0.9415915606846584,1298.848704788155,1687.3173612509988,0.7697714340028907,0.44726184507968647,-2142.457741821363,4740.155151397673
Baseline (p=2),gini,Egypt,Lower middle income,public_debt,-2.4601467446224,1.0059948946051032,410.37364402173085,4043.218968268734,0.10149676464281349,0.9199061259171878,-7885.626419883991,8706.373707927452
Baseline (p=2),gini,Egypt,Lower middle income,growth,-2.4679339346644094,1.0059948946051032,411.6726143214556,4371.804164672724,0.09416538317248108,0.9256731220916001,-8558.52858282964,9381.873811472553
Baseline (p=2),gini,Egypt,Lower middle income,life_exp,-0.028605522136366666,1.0059948946051032,4.771647213283145,48.201155782679145,0.09899445637355056,0.9218740025890446,-94.12895515123807,103.67224957780437
Baseline (p=2),gini,Egypt,Lower middle income,gdp_x_debt,7.157220247328423,1.0059948946051032,-1193.885917733371,11987.255506957168,-0.0995962684736688,0.9214006761385185,-25789.70257575444,23401.930740287695
Baseline (p=2),gini,El Salvador,Lower middle income,public_debt,-6.593904814304992,0.7117834403252621,-22.878299642971367,1.2216156168374088,-18.727903710170363,2.615822176024495e-11,-25.49840455571674,-20.258194730225995
Baseline (p=2),gini,El Salvador,Lower middle income,growth,-28.555103597953668,0.7117834403252621,-99.07516636163815,23.23785691558246,-4.263524245009099,7.872294030646077e-4,-148.9154125299181,-49.23492019335822
Baseline (p=2),gini,El Salvador,Lower middle income,life_exp,-0.24493515409654643,0.7117834403252621,-0.8498302608738512,0.18363186847475077,-4.627901833884036,3.9115361260212635e-4,-1.2436814478559697,-0.45597907389173264
Baseline (p=2),gini,El Salvador,Lower middle income,gdp_x_debt,56.12082773320644,0.7117834403252621,194.71756861070259,43.19624806476997,4.507742624283855,4.918506962441774e-4,102.07083079338877,287.3643064280164
Baseline (p=2),gini,Finland,High income,public_debt,0.888013342185678,0.8899339201613766,8.068001908377811,8.262216859203521,0.9764936028507447,0.33817500375364684,-8.948352244360107,25.084356061115727
Baseline (p=2),gini,Finland,High income,growth,-5.66991862216964,0.8899339201613766,-51.513769096553254,43.8401588545969,-1.1750360957269144,0.2510508477454275,-141.8042664164244,38.77672822331791
Baseline (p=2),gini,Finland,High income,life_exp,0.019168827319345293,0.8899339201613766,0.17415744566764105,0.5076798146315717,0.3430458344971403,0.7344319042554568,-0.8714287050207287,1.2197435963560108
Baseline (p=2),gini,Finland,High income,gdp_x_debt,23.252148743578807,0.8899339201613766,211.25626330719356,123.61687645078722,1.7089597259909428,0.0998460582779213,-43.337459514143944,465.8499861285311
Baseline (p=2),gini,France,High income,public_debt,0.5622987233013482,0.8419143667780655,3.556924888373278,7.039731154736188,0.5052643077115596,0.6173274442047543,-10.863310685306814,17.97716046205337
Baseline (p=2),gini,France,High income,growth,-2.7988940493863903,0.8419143667780655,-17.704923542653983,26.305965105483054,-0.6730383573330171,0.5064403066011798,-71.59025033654197,36.180403251234
Baseline (p=2),gini,France,High income,life_exp,-0.020255053784953625,0.8419143667780655,-0.12812710030719746,0.584125207354792,-0.21934869218779374,0.8279696258456799,-1.3246533467553816,1.0683991461409865
Baseline (p=2),gini,France,High income,gdp_x_debt,-2.933767705834825,0.8419143667780655,-18.55809187743294,46.75386545709654,-0.39693171240488523,0.6944272211314935,-114.32904378628348,77.21286003141759
Baseline (p=2),gini,Germany,High income,public_debt,-0.3970746846859339,0.9240638713914582,-5.2290614752418145,8.090424026123765,-0.646327245439462,0.522537361679746,-21.68915291924228,11.231029968758651
Baseline (p=2),gini,Germany,High income,growth,0.6764004111799146,0.9240638713914582,8.907491382222354,58.62286573532706,0.15194568314756676,0.8801549391556263,-110.3616257366192,128.17660850106392
Baseline (p=2),gini,Germany,High income,life_exp,0.07778496547111956,0.9240638713914582,1.0243472625804861,0.45220394839092826,2.265232902599388,0.030187809324489123,0.10433141201215146,1.9443631131488208
Baseline (p=2),gini,Germany,High income,gdp_x_debt,1.0710815101583024,0.9240638713914582,14.105031817987884,88.90664604934659,0.15864991476744103,0.8749116368967047,-166.77689961432154,194.9869632502973
Baseline (p=2),gini,Ghana,Low income,public_debt,-0.03661168101617351,1.1667024696041954,0.21962290722567732,2.4228252819908884,0.0906474391109244,0.9303120714631181,-5.509448511942102,5.948694326393456
Baseline (p=2),gini,Ghana,Low income,growth,-7.169092530238771,1.1667024696041954,43.00531688139037,21.666567341858592,1.9848698782250807,0.08755098201635142,-8.227973703936648,94.23860746671738
Baseline (p=2),gini,Ghana,Low income,life_exp,-0.1148243191316938,1.1667024696041954,0.688797948850567,0.12206071087380639,5.6430766617661865,7.80080093404513e-4,0.4001702317517094,0.9774256659494246
Baseline (p=2),gini,Ghana,Low income,gdp_x_debt,6.5124472328928515,1.1667024696041954,-39.0662912694423,33.71136035074574,-1.1588464797321092,0.2845193947732387,-118.7809915089991,40.64840897011449
Baseline (p=2),gini,Greece,High income,public_debt,-0.0444744451043545,0.940872912133172,-0.7521839263338043,5.637228287200192,-0.13343151776231985,0.8947431778536707,-12.26493998716496,10.76057213449735
Baseline (p=2),gini,Greece,High income,growth,3.724406582650332,0.940872912133172,62.9898531623749,76.3379290728742,0.8251449040783267,0.41580267021336403,-92.91299675423356,218.89270307898335
Baseline (p=2),gini,Greece,High income,life_exp,-0.03807169493322817,0.940872912133172,-0.6438959926282368,1.2074468184140577,-0.5332706855561336,0.5977751297781009,-3.1098313723238293,1.8220393870673555
Baseline (p=2),gini,Greece,High income,gdp_x_debt,-3.4835920575082175,0.940872912133172,-58.917024044111855,72.96301392975899,-0.8074916436542888,0.4257396957538483,-207.92737772158216,90.09332963335845
