spec,dv,country,term,estimate,std_error,t_value,p_value
Baseline (p=3),p90p100,Belgium,gdp_x_debt,0.2281067041808027,0.13960156484140532,1.633983862859588,0.11148949311965525
Baseline (p=3),p90p100,Belize,(Intercept),0.32226055476831267,0.09662111685215924,3.3353014875765323,0.002069482336541229
Baseline (p=3),p90p100,Belize,"L(p90p100, 1)",0.6640917355225746,0.10917874784548111,6.082609927551585,6.729705440191597e-7
Baseline (p=3),p90p100,Belize,public_debt,-0.014711829212243992,0.008553687844051895,-1.7199399230443482,0.0945351676797332
Baseline (p=3),p90p100,Belize,"L(public_debt, 1)",0.015698487238375015,0.007353643211482073,2.13479044154103,0.04006927012547971
Baseline (p=3),p90p100,Belize,growth,0.003474067022863728,0.03081449372015384,0.11274133057041132,0.9108986706806197
Baseline (p=3),p90p100,Belize,life_exp,-0.0019692589476326024,6.246238070690376e-4,-3.1527119609370677,0.003370974501275467
Baseline (p=3),p90p100,Belize,gdp_x_debt,0.004704532797680383,0.05927339886893332,0.07937005279692416,0.9372036088517901
Baseline (p=3),p90p100,Bolivia,(Intercept),0.05962952007608664,0.05164432019836237,1.1546191303720073,0.25606915852036954
Baseline (p=3),p90p100,Bolivia,"L(p90p100, 1)",0.9108066339697676,0.08273499920536745,11.008722339005944,6.467413162919084e-13
Baseline (p=3),p90p100,Bolivia,public_debt,-7.424226535296893e-4,0.003519833420517373,-0.21092550834992702,0.8341686807844434
Baseline (p=3),p90p100,Bolivia,growth,-0.030506463931909977,0.037358126062385644,-0.8165951333042285,0.41968341352008365
Baseline (p=3),p90p100,Bolivia,life_exp,-1.7106612090702047e-4,2.2108938972875217e-4,-0.7737418838456982,0.44427848763493794
Baseline (p=3),p90p100,Bolivia,gdp_x_debt,0.03857364099197008,0.046199553121592345,0.8349353702718364,0.40941731278071625
Baseline (p=3),p90p100,Brazil,(Intercept),0.2896168439574785,0.10416088933845138,2.780475913722497,0.008678550714433539
Baseline (p=3),p90p100,Brazil,"L(p90p100, 1)",0.5310297129229976,0.17412625578190957,3.0496820283559307,0.004346523123817943
Baseline (p=3),p90p100,Brazil,public_debt,-0.0022985694569102586,0.007899929678312195,-0.2909607490836986,0.7727986406434577
Baseline (p=3),p90p100,Brazil,growth,0.0031959719913057134,0.06183720588781668,0.05168364167526838,0.9590746261395067
