spec,dv,country,ect_coefficient,ecm_r_squared
Baseline (p=3),p90p100,Panama,-0.1014980657259158,0.2875449555695008
Baseline (p=3),p90p100,Paraguay,-0.1204766736351669,0.22500490572394688
Baseline (p=3),p90p100,Portugal,-0.021162586465138133,0.3932233788093979
Baseline (p=3),p90p100,Singapore,-0.25913050556372474,0.37915569092455204
Baseline (p=3),p90p100,South Africa,0.009297463461988897,0.23178053509717286
Baseline (p=3),p90p100,South Korea,-0.0183745750626102,0.4014502066065552
Baseline (p=3),p90p100,Spain,-0.3188963997361305,0.21326777818664044
Baseline (p=3),p90p100,Sweden,-0.15522009142512316,0.5731349160346993
Baseline (p=3),p90p100,Switzerland,-0.3177705517954871,0.2846928593888754
Baseline (p=3),p90p100,Thailand,-0.35175046508630614,0.3907848482805282
Baseline (p=3),p90p100,Togo,-0.21698021797062106,0.23866288896466237
Baseline (p=3),p90p100,Trinidad and Tobago,-0.3031267874350321,0.25947317525058256
Baseline (p=3),p90p100,Turkey,-0.15632148202039742,0.47502344349557374
Baseline (p=3),p90p100,United Arab Emirates,-0.18469360588164052,0.8267104945615034
Baseline (p=3),p90p100,United Kingdom,-0.6213364181911316,0.6046731990874177
Baseline (p=3),p90p100,United States,-0.33621699062012256,0.6045555988933219
Baseline (p=3),p90p100,Uruguay,-0.11975663512726686,0.2782388807929697
Baseline (p=3),p90p100,Venezuela,-0.13766672614934994,0.1051502796592087
Baseline (p=3),p90p100,Zambia,-0.24173510264753206,0.9413175505332815
Baseline (p=3),p99p100,Algeria,0.03418762797694219,0.5280080559707546
Baseline (p=3),p99p100,Argentina,-0.6429846853615104,0.34250403807877183
Baseline (p=3),p99p100,Australia,-0.5043498401685813,0.3388487556709557
Baseline (p=3),p99p100,Austria,-0.8392670951914574,0.44844322126846864
Baseline (p=3),p99p100,Bahamas,-0.4313227830124132,0.46522263633564803
Baseline (p=3),p99p100,Bahrain,-0.29927880288549324,0.6941472474721766
Baseline (p=3),p99p100,Bangladesh,-0.26921722394544545,0.5879022270849786
Baseline (p=3),p99p100,Belgium,-0.6919219404402797,0.5557189472389852
Baseline (p=3),p99p100,Belize,-0.5411044420566465,0.3884045886056937
Baseline (p=3),p99p100,Bolivia,-0.6452921417927373,0.32571731237879714
Baseline (p=3),p99p100,Brazil,-0.4064614976758313,0.35156448545712726
Baseline (p=3),p99p100,Burkina Faso,-0.1761973553347853,0.9009571877929451
Baseline (p=3),p99p100,Canada,-0.06807817709953212,0.3581870246147022
Baseline (p=3),p99p100,Chile,-0.38044069980842,0.4296689582417644
Baseline (p=3),p99p100,Colombia,-0.42046062760343195,0.24477150288569938
Baseline (p=3),p99p100,Costa Rica,-0.36528753277499026,0.3758139106077642
Baseline (p=3),p99p100,Cote d'Ivoire,-0.20195419464681796,0.6068475623069508
Baseline (p=3),p99p100,Cyprus,-0.6992731401845265,0.37616359341171557
Baseline (p=3),p99p100,Denmark,-0.3178004692593085,0.3443632991320409
Baseline (p=3),p99p100,Egypt,-0.25349195268357183,0.4899946082494345
Baseline (p=3),p99p100,El Salvador,-0.882919947377214,0.5273833996114479
Baseline (p=3),p99p100,Finland,-0.03778906987279329,0.5477897603456532
Baseline (p=3),p99p100,France,-0.039596987457994115,0.31906050221195364
Baseline (p=3),p99p100,Germany,-0.22096025686650378,0.5884822759323917
Baseline (p=3),p99p100,Ghana,-0.06994392450614417,0.6221915143902247
Baseline (p=3),p99p100,Greece,-0.5154658743859002,0.6088302368374778
Baseline (p=3),p99p100,Guatemala,-0.5051157917832296,0.3194829132953076
Baseline (p=3),p99p100,Guyana,-0.5611750689095798,0.2846382371421373
Baseline (p=3),p99p100,Haiti,-0.46016275760740855,0.23295727926550955
Baseline (p=3),p99p100,Honduras,-0.6142302277984802,0.3143200939413512
Baseline (p=3),p99p100,Iceland,-0.46457947384890985,0.24574610602799832
Baseline (p=3),p99p100,India,-0.4587557076215535,0.9075990069399742
Baseline (p=3),p99p100,Indonesia,-0.4838973052886165,0.4301822960005582
Baseline (p=3),p99p100,Iran,-0.7391179981327592,0.4018071867624573
Baseline (p=3),p99p100,Ireland,-0.4068844138267259,0.2589609944641844
Baseline (p=3),p99p100,Italy,-0.20040299781014037,0.33032773988028924
Baseline (p=3),p99p100,Jamaica,-0.4247467442299637,0.34458333056242846
Baseline (p=3),p99p100,Japan,-0.3189293269925617,0.2894897145461902
Baseline (p=3),p99p100,Jordan,-0.3393614253525741,0.48174690445264323
Baseline (p=3),p99p100,Kenya,-0.017211277132477165,0.5502789643626352
Baseline (p=3),p99p100,Lebanon,-0.5657974502179768,0.35342621012988557
Baseline (p=3),p99p100,Luxembourg,-0.4020326939975126,0.414252882226795
Baseline (p=3),p99p100,Malaysia,-0.07234684503252442,0.1351756718600302
Baseline (p=3),p99p100,Malta,-0.3720499241188273,0.26059989654829
Baseline (p=3),p99p100,Mauritania,-0.18725398571392982,0.6086599628574704
Baseline (p=3),p99p100,Mexico,-0.09191197600211654,0.24662212448102092
Baseline (p=3),p99p100,Netherlands,-0.5769040155515167,0.37991927658717245
Baseline (p=3),p99p100,New Zealand,-0.42366813375682966,0.23738228232393135
Baseline (p=3),p99p100,Norway,-0.08815492781975698,0.22366458529280137
Baseline (p=3),p99p100,Pakistan,-0.22703313227401034,0.22778000553434213
Baseline (p=3),p99p100,Panama,-0.6197453971973523,0.40342291257120727
Baseline (p=3),p99p100,Paraguay,-0.45205674790231243,0.6705944047333516
Baseline (p=3),p99p100,Portugal,-0.20951446549810915,0.13072281967716226
Baseline (p=3),p99p100,Singapore,-0.1845640441725771,0.27259290943260367
Baseline (p=3),p99p100,South Africa,-0.06513307113441302,0.5168262972283624
Baseline (p=3),p99p100,South Korea,-0.383346883654643,0.7655560251781842
Baseline (p=3),p99p100,Spain,-0.3603219602466612,0.2618183435418466
Baseline (p=3),p99p100,Sweden,-0.22572166137326855,0.5188371432092302
Baseline (p=3),p99p100,Switzerland,-0.3874759011527037,0.2875792671333941
Baseline (p=3),p99p100,Thailand,-0.04800507836673196,0.2613051488528288
Baseline (p=3),p99p100,Togo,-0.5339683828460192,0.5806429744639862
Baseline (p=3),p99p100,Trinidad and Tobago,-0.7422224349474245,0.38164857644256234
Baseline (p=3),p99p100,Turkey,-0.20294144772691936,0.32109197052954414
Baseline (p=3),p99p100,United Arab Emirates,-0.05938911596514984,0.5107522628879965
Baseline (p=3),p99p100,United Kingdom,-0.361717368086271,0.4089547776523212
Baseline (p=3),p99p100,United States,-0.3780768861037789,0.1997609536649665
Baseline (p=3),p99p100,Uruguay,-0.8041053694979241,0.8495590048059347
Baseline (p=3),p99p100,Venezuela,-0.7569882655807779,0.8232595987777216
Baseline (p=3),p99p100,Zambia,-0.41455355750813083,0.6858894635254701
Baseline (p=3),gini,Argentina,-0.022288131568578562,0.9219194931030713
Baseline (p=3),gini,Australia,-0.26357410663041714,0.47856946079336454
Baseline (p=3),gini,Austria,-0.2087971681028582,0.8109151332380125
Baseline (p=3),gini,Bangladesh,-0.10401437665669888,0.6906324797740643
Baseline (p=3),gini,Belgium,-0.02496593836783556,0.6031927620915641
Baseline (p=3),gini,Belize,-0.010099758698564831,0.8262065912792839
Baseline (p=3),gini,Bolivia,-0.15912505351440442,0.976582644822737
Baseline (p=3),gini,Brazil,-0.09780694427109915,0.8186482188110994
Baseline (p=3),gini,Burkina Faso,-0.4089699183839903,0.7754070337098535
Baseline (p=3),gini,Canada,-0.07951139438349986,0.5193813434421258
Baseline (p=3),gini,Chile,-0.02649206957991823,0.8707867461747756
Baseline (p=3),gini,Colombia,-0.01960910916759262,0.5372491117308799
Baseline (p=3),gini,Costa Rica,-0.08936917550613255,0.61162838960511
Baseline (p=3),gini,Cyprus,0.010997449333826737,0.4376798278104036
Baseline (p=3),gini,Denmark,-0.058408439315341565,0.5387423314473331
Baseline (p=3),gini,Egypt,0.005994894605103163,0.5487414352661334
Baseline (p=3),gini,El Salvador,-0.2882165596747379,0.936984353720775
Baseline (p=3),gini,Finland,-0.11006607983862338,0.7170859422751399
Baseline (p=3),gini,France,-0.15808563322193447,0.4194946524415409
Baseline (p=3),gini,Germany,-0.07593612860854182,0.4962425398971853
Baseline (p=3),gini,Ghana,0.16670246960419544,0.927643189808084
Baseline (p=3),gini,Greece,-0.059127087866827965,0.6147729632073634
Baseline (p=3),gini,Guatemala,-0.02237140410619176,0.5337109604283691
Baseline (p=3),gini,Honduras,-0.012152019981530593,0.8364097880344578
Baseline (p=3),gini,Iceland,-0.14416854439983395,0.9077806146071531
Baseline (p=3),gini,India,0.7687120826833918,0.7971382880671025
Baseline (p=3),gini,Indonesia,-0.008117722545812667,0.8829099249229132
Baseline (p=3),gini,Iran,0.05778079084539778,0.8265866828091346
Baseline (p=3),gini,Ireland,-0.03391393299080425,0.8453354426212751
Baseline (p=3),gini,Italy,-0.0592844159792516,0.7250501536539129
Baseline (p=3),gini,Jamaica,-0.1254629187372447,0.7472522523105504
Baseline (p=3),gini,Japan,-0.17654085696610555,0.636089444260707
Baseline (p=3),gini,Jordan,-0.49973261985265127,0.6173931497677616
Baseline (p=3),gini,Kenya,-0.012064355042459063,0.24276958234166418
Baseline (p=3),gini,Lebanon,-0.31361759492755625,0.981181524538374
Baseline (p=3),gini,Luxembourg,-0.2853675024441199,0.6783069796544073
Baseline (p=3),gini,Malaysia,-0.15493544520550873,0.5303784643301084
Baseline (p=3),gini,Mauritania,0.009082230922283108,0.8470455672660323
Baseline (p=3),gini,Mexico,-0.039708777948660456,0.7273858188607745
Baseline (p=3),gini,Netherlands,-0.27012704430255496,0.47727625664812434
Baseline (p=3),gini,New Zealand,-0.09523707483761523,0.8844562078189312
Baseline (p=3),gini,Norway,-0.18198772455214507,0.5556401554109958
Baseline (p=3),gini,Pakistan,-0.22659468123598714,0.3004232348397187
Baseline (p=3),gini,Panama,-0.04657235869024068,0.7325844595077938
Baseline (p=3),gini,Paraguay,-0.22343276982943938,0.9142288934297129
Baseline (p=3),gini,Portugal,-0.14916998984560859,0.7757603044712759
Baseline (p=3),gini,Singapore,0.06967244586558352,0.7506497753955683
Baseline (p=3),gini,South Africa,-0.03902483058723605,0.6249202326875299
Baseline (p=3),gini,South Korea,-0.4274573505856576,0.7595246454799052
Baseline (p=3),gini,Spain,-0.36010245058848644,0.6458235642793143
Baseline (p=3),gini,Sweden,-0.41569322689048116,0.8010255504889044
Baseline (p=3),gini,Switzerland,-0.15923336787607678,0.8836475278157503
Baseline (p=3),gini,Thailand,-0.006711901767299189,0.7838938930573118
Baseline (p=3),gini,Trinidad and Tobago,-0.345300964852685,0.9287495406942207
Baseline (p=3),gini,Turkey,-0.1510674032786683,0.9243791899640029
Baseline (p=3),gini,United Kingdom,-0.11244957757523155,0.7715982536870345
Baseline (p=3),gini,United States,0.006845027215920396,0.823574848085455
Baseline (p=3),gini,Uruguay,-0.08097122477089358,0.537666559689653
Baseline (p=3),gini,Venezuela,-0.05068557217949465,0.8599075640121282
Baseline (p=3),gini,Zambia,-0.041018934978574895,0.21657152819820077
Baseline (p=2),p90p100,Algeria,-0.16484423930984904,0.49349642333070565
Baseline (p=2),p90p100,Argentina,-0.1393543805341828,0.3057892919408058
Baseline (p=2),p90p100,Australia,-0.34648353610665295,0.19053357836606363
Baseline (p=2),p90p100,Austria,-0.8687220646524578,0.4963368148195388
Baseline (p=2),p90p100,Bahamas,-0.47132489254835086,0.36109596456043996
Baseline (p=2),p90p100,Bahrain,-0.21396003597476665,0.7039344324025378
Baseline (p=2),p90p100,Bangladesh,-0.26922423706003396,0.767411260951216
Baseline (p=2),p90p100,Belgium,-0.5078221349114622,0.4317842254680733
Baseline (p=2),p90p100,Belize,-0.3359082644774254,0.3154978952681447
Baseline (p=2),p90p100,Bolivia,-0.08919336603023242,0.08462965912218022
Baseline (p=2),p90p100,Brazil,-0.4689702870770024,0.18768468279601958
