spec,dv,country,income_group,n_obs,status,aic,bic,best_order
Baseline (p=3),p99p100,Cote d'Ivoire,Lower middle income,42,ok,-253.65570366932917,-230.01139131173406,"(2,2,0,2,2)"
Baseline (p=3),p99p100,Cyprus,High income,42,ok,-216.9930023363248,-203.28442580269032,"(1,1,0,0,0)"
Baseline (p=3),p99p100,Denmark,High income,42,ok,-297.1223066470923,-283.4137301134578,"(1,0,0,1,0)"
Baseline (p=3),p99p100,Egypt,Lower middle income,42,ok,-316.46099249050474,-296.1944390411375,"(2,0,2,0,2)"
Baseline (p=3),p99p100,El Salvador,Lower middle income,42,ok,-182.11499368978323,-168.40641715614876,"(1,0,0,0,1)"
Baseline (p=3),p99p100,Finland,High income,42,ok,-281.8702614919628,-266.4481128916241,"(1,0,1,0,1)"
Baseline (p=3),p99p100,France,High income,42,ok,-307.1698126083385,-291.96989752131304,"(1,0,0,0,2)"
Baseline (p=3),p99p100,Germany,High income,42,ok,-315.12064761113265,-293.1652147076515,"(2,1,2,2,0)"
Baseline (p=3),p99p100,Ghana,Low income,42,ok,-361.2761587412392,-341.009605291872,"(2,0,0,2,2)"
Baseline (p=3),p99p100,Greece,High income,42,ok,-290.33289655114737,-273.444102010008,"(2,2,0,0,0)"
Baseline (p=3),p99p100,Guatemala,Lower middle income,42,ok,-297.2684602087593,-285.27345574182914,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Guyana,Lower middle income,42,ok,-295.22110692453526,-283.2261024576051,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Haiti,Low income,42,ok,-292.36118794224643,-280.3661834753163,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Honduras,Lower middle income,42,ok,-296.95858307938187,-284.9635786124517,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Iceland,High income,42,ok,-232.01148035918322,-220.01647589225308,"(1,0,0,0,0)"
Baseline (p=3),p99p100,India,Low income,42,ok,-306.6096254989888,-271.67483093026624,"(3,3,3,3,3)"
Baseline (p=3),p99p100,Indonesia,Lower middle income,42,ok,-247.1207140404893,-229.98499337344623,"(1,1,1,0,1)"
Baseline (p=3),p99p100,Iran,Lower middle income,42,ok,-256.8058853762169,-244.81088090928677,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Ireland,High income,42,ok,-293.02739646187365,-279.3188199282392,"(1,1,0,0,0)"
Baseline (p=3),p99p100,Italy,High income,42,ok,-364.5111142804107,-352.51610981348057,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Jamaica,Lower middle income,42,ok,-294.8093124051913,-279.38716380485255,"(1,1,0,1,0)"
Baseline (p=3),p99p100,Japan,High income,42,ok,-282.35828767223506,-266.93613907189626,"(1,0,1,0,1)"
Baseline (p=3),p99p100,Jordan,Lower middle income,42,ok,-269.73522478410734,-256.22418915119584,"(2,0,0,0,0)"
Baseline (p=3),p99p100,Kenya,Low income,42,ok,-223.2584177437458,-206.36962320260645,"(2,0,1,0,1)"
Baseline (p=3),p99p100,Lebanon,Upper middle income,42,ok,-341.1915432041345,-329.1965387372044,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Luxembourg,High income,42,ok,-232.06200091225685,-216.63985231191808,"(1,0,1,0,1)"
Baseline (p=3),p99p100,Malaysia,Upper middle income,42,ok,-299.2185779834155,-287.2235735164854,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Malta,High income,42,ok,-330.4952126340744,-318.50020816714425,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Mauritania,Low income,42,ok,-195.48656801454288,-176.9088940192896,"(2,1,1,0,1)"
Baseline (p=3),p99p100,Mexico,Upper middle income,42,ok,-201.74139770485073,-186.31924910451195,"(1,1,0,1,0)"
Baseline (p=3),p99p100,Netherlands,High income,42,ok,-367.99043250275383,-350.85471183571076,"(1,1,1,0,1)"
Baseline (p=3),p99p100,New Zealand,High income,42,ok,-181.99904062799186,-170.00403616106172,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Norway,High income,42,ok,-225.14390200133968,-211.4353254677052,"(1,0,0,1,0)"
Baseline (p=3),p99p100,Pakistan,Low income,42,ok,-311.1689507245911,-295.7468021242523,"(1,0,1,0,1)"
Baseline (p=3),p99p100,Panama,Upper middle income,42,ok,-298.6658832625226,-283.2437346621838,"(1,0,1,0,1)"
Baseline (p=3),p99p100,Paraguay,Lower middle income,42,ok,-299.71576912370597,-272.69369785788297,"(2,2,2,2,2)"
Baseline (p=3),p99p100,Portugal,High income,42,ok,-310.93011551548153,-298.9351110485514,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Singapore,High income,42,ok,-300.71305480764636,-288.7180503407162,"(1,0,0,0,0)"
Baseline (p=3),p99p100,South Africa,Upper middle income,42,ok,-342.4653485895846,-330.47034412265447,"(1,0,0,0,0)"
Baseline (p=3),p99p100,South Korea,High income,42,ok,-287.4977115045226,-265.8714101048372,"(2,0,1,3,1)"
Baseline (p=3),p99p100,Spain,High income,42,ok,-335.3574233379335,-319.9352747375947,"(1,0,1,0,1)"
Baseline (p=3),p99p100,Sweden,High income,42,ok,-285.44271068190636,-271.7341341482719,"(1,0,0,0,1)"
Baseline (p=3),p99p100,Switzerland,High income,42,ok,-288.7432829591471,-276.74827849221697,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Thailand,Lower middle income,42,ok,-266.9708947884694,-253.26231825483495,"(1,0,0,1,0)"
Baseline (p=3),p99p100,Togo,Low income,42,ok,-383.9421169621995,-368.7422018751741,"(2,0,0,1,0)"
Baseline (p=3),p99p100,Trinidad and Tobago,Upper middle income,42,ok,-301.19609573513014,-289.2010912682,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Turkey,Upper middle income,42,ok,-272.74887639434513,-259.04029986071066,"(1,1,0,0,0)"
Baseline (p=3),p99p100,United Arab Emirates,High income,42,ok,-431.44698262549167,-416.0248340251529,"(1,1,0,1,0)"
Baseline (p=3),p99p100,United Kingdom,High income,42,ok,-304.5575254141633,-292.56252094723317,"(1,0,0,0,0)"
Baseline (p=3),p99p100,United States,High income,42,ok,-285.4583464668248,-273.4633419998947,"(1,0,0,0,0)"
Baseline (p=3),p99p100,Uruguay,Upper middle income,42,ok,-257.10205322519334,-222.16725865647078,"(3,3,3,3,3)"
Baseline (p=3),p99p100,Venezuela,Upper middle income,42,ok,-304.719745384769,-269.78495081604643,"(3,3,3,3,3)"
Baseline (p=3),p99p100,Zambia,Low income,42,ok,-311.8347244929178,-293.2570504976645,"(2,0,0,1,2)"
Baseline (p=3),gini,Algeria,Lower middle income,24,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Argentina,Upper middle income,42,ok,-15.78260470342758,4.4839487459396565,"(2,0,1,1,2)"
Baseline (p=3),gini,Australia,High income,42,ok,15.322842505870309,32.211637047009674,"(1,1,0,2,0)"
Baseline (p=3),gini,Austria,High income,26,ok,-17.428567127588465,-2.6671423205095195,"(2,0,0,3,2)"
Baseline (p=3),gini,Bahamas,High income,13,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Bahrain,High income,1,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Bangladesh,Low income,42,ok,-55.16961932490162,-31.87975627908657,"(2,3,0,3,0)"
Baseline (p=3),gini,Belgium,High income,42,ok,-17.524478792414754,4.43095411106642,"(2,1,2,0,2)"
Baseline (p=3),gini,Belize,Lower middle income,26,ok,-45.01711219335208,-30.25568738627313,"(2,0,1,3,1)"
Baseline (p=3),gini,Bolivia,Lower middle income,28,ok,-7.51065525240768,13.210233770351728,"(2,3,2,2,2)"
Baseline (p=3),gini,Brazil,Upper middle income,42,ok,46.189060238476216,66.45561368784345,"(2,1,2,0,1)"
Baseline (p=3),gini,Burkina Faso,Low income,26,ok,-37.7649827463832,-24.1390521552334,"(1,1,3,0,1)"
Baseline (p=3),gini,Canada,High income,42,ok,39.467515427025845,62.7573784728409,"(1,0,3,2,2)"
Baseline (p=3),gini,Chile,Upper middle income,42,ok,-24.40184720013591,-0.7575348425408066,"(2,2,0,2,2)"
Baseline (p=3),gini,Colombia,Lower middle income,42,ok,63.55154159440357,81.85071970182968,"(2,0,3,0,0)"
Baseline (p=3),gini,Costa Rica,Upper middle income,42,ok,1.584453922059108,21.54719367561486,"(2,0,0,3,1)"
Baseline (p=3),gini,Cote d'Ivoire,Lower middle income,0,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Cyprus,High income,35,ok,-42.02516907972933,-29.814284882800038,"(1,1,0,0,0)"
Baseline (p=3),gini,Denmark,High income,42,ok,39.791679330240626,56.68047387137999,"(1,0,2,0,1)"
Baseline (p=3),gini,Egypt,Lower middle income,42,ok,22.580021549668068,44.20632294935347,"(1,3,0,2,1)"
Baseline (p=3),gini,El Salvador,Lower middle income,31,ok,-35.415958298161684,-15.432890645533625,"(2,3,2,0,2)"
Baseline (p=3),gini,Finland,High income,42,ok,-9.221627623821249,15.731797068123448,"(2,3,2,0,2)"
Baseline (p=3),gini,France,High income,42,ok,12.724173656569246,32.686913410125,"(2,0,0,3,1)"
Baseline (p=3),gini,Germany,High income,42,ok,-10.307697731575725,3.2033379013357646,"(2,0,0,0,0)"
Baseline (p=3),gini,Ghana,Low income,30,ok,-68.8666575413996,-41.6540833553087,"(3,3,3,3,3)"
Baseline (p=3),gini,Greece,High income,42,ok,-2.1114602080632707,16.46621378719003,"(2,1,1,0,1)"
Baseline (p=3),gini,Guatemala,Lower middle income,42,ok,3.99840682747951,19.198321914504934,"(2,1,0,0,0)"
Baseline (p=3),gini,Guyana,Lower middle income,16,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Haiti,Low income,12,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Honduras,Lower middle income,32,ok,-9.554647746422457,1.6549313068747864,"(2,0,0,0,0)"
Baseline (p=3),gini,Iceland,High income,28,ok,2.385569077089329,21.887582274980538,"(2,1,3,3,1)"
Baseline (p=3),gini,India,Low income,42,ok,46.00187268737066,80.93666725609322,"(3,3,3,3,3)"
Baseline (p=3),gini,Indonesia,Lower middle income,42,ok,-45.150231282445446,-21.8603682366304,"(2,0,3,0,3)"
Baseline (p=3),gini,Iran,Lower middle income,42,ok,-45.30143393565484,-10.366639366932276,"(3,3,3,3,3)"
Baseline (p=3),gini,Ireland,High income,42,ok,-47.53734090596919,-20.920354567894847,"(2,1,2,3,2)"
Baseline (p=3),gini,Italy,High income,42,ok,13.505707525047942,38.45913221699264,"(1,1,2,3,2)"
Baseline (p=3),gini,Jamaica,Lower middle income,32,ok,-46.445417261822925,-24.56868398203934,"(2,2,1,3,2)"
Baseline (p=3),gini,Japan,High income,42,ok,0.16271896291119958,20.429272412278436,"(2,0,2,2,0)"
Baseline (p=3),gini,Jordan,Lower middle income,32,ok,-14.374737840470132,2.4396307394757315,"(2,2,0,0,2)"
Baseline (p=3),gini,Kenya,Low income,42,ok,-85.06347155473955,-73.0684670878094,"(1,0,0,0,0)"
Baseline (p=3),gini,Lebanon,Upper middle income,25,ok,-79.93390069437459,-57.02200917384995,"(3,3,3,3,3)"
Baseline (p=3),gini,Luxembourg,High income,35,ok,-19.86335472538881,-0.8087879889923641,"(2,0,2,0,3)"
Baseline (p=3),gini,Malaysia,Upper middle income,42,ok,-82.16930974904483,-60.213876845563654,"(2,1,2,0,2)"
Baseline (p=3),gini,Malta,High income,14,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Mauritania,Low income,33,ok,-60.913705806305245,-35.69215293638645,"(2,3,3,2,2)"
Baseline (p=3),gini,Mexico,Upper middle income,42,ok,-2.925767826466302,18.7005335732191,"(2,3,0,0,2)"
Baseline (p=3),gini,Netherlands,High income,42,ok,15.869146999339042,29.38018263225053,"(2,0,0,0,0)"
Baseline (p=3),gini,New Zealand,High income,42,ok,-14.632603639059283,11.984382699015057,"(2,0,3,2,3)"
Baseline (p=3),gini,Norway,High income,42,ok,37.672617401826905,59.29891880151231,"(2,3,2,0,0)"
Baseline (p=3),gini,Pakistan,Low income,42,ok,-70.0482570059664,-56.33968047233194,"(1,0,0,0,1)"
Baseline (p=3),gini,Panama,Upper middle income,42,ok,-27.964705711587982,-9.387031716334683,"(2,0,1,0,2)"
Baseline (p=3),gini,Paraguay,Lower middle income,30,ok,20.254805914232666,35.80484830628461,"(2,1,0,3,0)"
Baseline (p=3),gini,Portugal,High income,42,ok,-42.54895650359006,-17.595531811645365,"(2,3,0,1,3)"
Baseline (p=3),gini,Singapore,High income,42,ok,-68.73056285403926,-51.8417683128999,"(1,2,0,1,0)"
Baseline (p=3),gini,South Africa,Upper middle income,42,ok,-69.16751516279912,-53.967600075773696,"(2,0,0,1,0)"
Baseline (p=3),gini,South Korea,High income,42,ok,40.71494637178864,75.64974094051121,"(3,3,3,3,3)"
Baseline (p=3),gini,Spain,High income,42,ok,50.81207870264312,70.77481845619887,"(2,1,0,3,0)"
Baseline (p=3),gini,Sweden,High income,42,ok,36.8763922280186,71.81118679674117,"(3,3,3,3,3)"
Baseline (p=3),gini,Switzerland,High income,42,ok,-33.93698197743062,-5.656433993226635,"(2,3,3,0,3)"
Baseline (p=3),gini,Thailand,Lower middle income,42,ok,-43.865230793585965,-26.976436252446604,"(1,2,0,0,1)"
Baseline (p=3),gini,Togo,Low income,15,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,Trinidad and Tobago,Upper middle income,28,ok,-66.8557749373612,-41.259382615129,"(3,3,3,3,3)"
Baseline (p=3),gini,Turkey,Upper middle income,33,ok,-58.50626765060794,-33.28471478068914,"(2,3,3,1,3)"
Baseline (p=3),gini,United Arab Emirates,High income,11,skipped: too few observations,NA,NA,NA
Baseline (p=3),gini,United Kingdom,High income,42,ok,17.5123310838854,39.1386324835708,"(2,0,2,3,0)"
Baseline (p=3),gini,United States,High income,42,ok,7.670082749225585,42.60487731794815,"(3,3,3,3,3)"
Baseline (p=3),gini,Uruguay,Upper middle income,42,ok,54.625331711071205,68.1363673439827,"(2,0,0,0,0)"
Baseline (p=3),gini,Venezuela,Upper middle income,42,ok,-9.816242205295872,21.791429071167407,"(2,3,3,2,3)"
Baseline (p=3),gini,Zambia,Low income,42,ok,-67.85527724015719,-52.43312863981842,"(1,0,0,1,1)"
Baseline (p=2),p90p100,Algeria,Lower middle income,42,ok,-276.5261777915819,-256.2596243422147,"(2,0,2,0,2)"
Baseline (p=2),p90p100,Argentina,Upper middle income,42,ok,-230.0105909154388,-216.30201438180433,"(1,0,0,1,0)"
Baseline (p=2),p90p100,Australia,High income,42,ok,-279.4516553610637,-267.45665089413353,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Austria,High income,42,ok,-322.1685251098124,-308.4599485761779,"(1,0,0,1,0)"
Baseline (p=2),p90p100,Bahamas,High income,42,ok,-341.36911257532614,-329.374108108396,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Bahrain,High income,42,ok,-276.7171228968929,-254.7616899934117,"(2,2,1,0,2)"
Baseline (p=2),p90p100,Bangladesh,Low income,42,ok,-329.9314849853165,-313.04269044417714,"(2,1,0,1,0)"
Baseline (p=2),p90p100,Belgium,High income,42,ok,-317.60742029246404,-303.89884375882957,"(1,1,0,0,0)"
Baseline (p=2),p90p100,Belize,Lower middle income,42,ok,-336.5426768895449,-322.83410035591044,"(1,1,0,0,0)"
Baseline (p=2),p90p100,Bolivia,Lower middle income,42,ok,-326.6265595636755,-314.6315550967454,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Brazil,Upper middle income,42,ok,-294.22057480245024,-282.2255703355201,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Burkina Faso,Low income,42,ok,-275.27556174347654,-256.69788774822325,"(2,1,0,2,0)"
Baseline (p=2),p90p100,Canada,High income,42,ok,-317.439826610159,-303.73125007652453,"(1,1,0,0,0)"
Baseline (p=2),p90p100,Chile,Upper middle income,42,ok,-281.55641592431266,-269.5614114573825,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Colombia,Lower middle income,42,ok,-257.01698091763757,-245.02197645070743,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Costa Rica,Upper middle income,42,ok,-299.4560836792375,-287.46107921230737,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Cote d'Ivoire,Lower middle income,42,ok,-224.19586660238224,-210.48729006874777,"(1,1,0,0,0)"
Baseline (p=2),p90p100,Cyprus,High income,42,ok,-213.67303509218374,-198.25088649184497,"(1,1,0,0,1)"
Baseline (p=2),p90p100,Denmark,High income,42,ok,-291.75052012648615,-278.0419435928517,"(1,1,0,0,0)"
Baseline (p=2),p90p100,Egypt,Lower middle income,42,ok,-324.640131842635,-307.75133730149565,"(2,0,0,1,1)"
Baseline (p=2),p90p100,El Salvador,Lower middle income,42,ok,-215.09949955304708,-203.1044950861169,"(1,0,0,0,0)"
Baseline (p=2),p90p100,Finland,High income,42,ok,-277.3975144828111,-263.68893794917665,"(1,0,0,1,0)"
Baseline (p=2),p90p100,France,High income,42,ok,-305.50839509793377,-282.21853205211875,"(2,3,0,0,3)"
Baseline (p=2),p90p100,Germany,High income,42,ok,-292.8820983537143,-279.1735218200798,"(1,1,0,0,0)"
Baseline (p=2),p90p100,Ghana,Low income,42,ok,-353.18108548585195,-339.67004985294045,"(2,0,0,0,0)"
Baseline (p=2),p90p100,Greece,High income,42,ok,-253.31315202323572,-241.31814755630558,"(1,0,0,0,0)"
