year,ifs,iso,country,region,income_group,lending_category,gg,cg,debt_raw,debt_imp,debt_is_imputed,debt_source,rgdpo,pop,emp,hc,ctfp,labsh,csh_g,csh_i,csh_x,csh_m,pl_c,pl_i,pl_g,pl_x,pl_m,growth,log_growth,gini_mean,gini_sd,log_gini,military_exp,inflation,life_exp,capital_formation,industry_va,domestic_credit,broad_money,nonmil_g,trade_openness,gdp_pc
1989,156,CAN,Canada,North America,High income,NA,0.7098677718148885,NA,0.7098677718148885,0.7098677718148885,FALSE,gg,934353750000,27179502,13236955.642700195,3.2694990634918213,0.9675157070159912,0.6930527091026306,0.16875143349170685,0.2789163291454315,0.24429021775722504,-0.2502853572368622,0.6062657833099365,0.5240890979766846,0.7839964032173157,0.5183056592941284,0.49716833233833313,0.03522988691230612,0.034623515012651124,28.465580940246582,0.371603927140366,3.3486956711266873,0.0193461430865038,0.0470207392025897,77.1248780487805,0.236100294976466,NA,0.96057649211783,0.7018697725807389,0.14940529040520306,-0.005995139479637146,0.03437714752831012
1990,156,CAN,Canada,North America,High income,NA,0.737442505474471,0.5121545475851221,0.737442505474471,0.737442505474471,FALSE,gg,941469375000,27541318.999999996,13290200.233459473,3.2905988693237305,0.950388491153717,0.7103658318519592,0.1659364253282547,0.250291109085083,0.25799494981765747,-0.24466636776924133,0.6208449006080627,0.5534742474555969,0.8863275647163391,0.5369814038276672,0.5216489434242249,-0.0026740401306143764,-0.0026776217623004843,28.789958000183105,0.45063902012016965,3.3600266457895054,0.0195879374221417,0.033917951611254,77.4365853658537,0.213042109213358,NA,1.00224873867902,0.73257982375294906,0.146348487906113,0.013328582048416138,0.03418388839692101
1991,156,CAN,Canada,North America,High income,NA,0.816581715170005,0.5609164216919147,0.816581715170005,0.816581715170005,FALSE,gg,917014000000,27888810,13058436.393737791,3.3113508224487305,0.9327837824821472,0.73360276222229,0.17695225775241852,0.24263854324817655,0.23826928436756137,-0.23582659661769867,0.6609247326850891,0.5509734153747559,0.9381294846534728,0.6014798283576965,0.56464385986328125,-0.02459063330647619,-0.024898032826801694,29.073277053833007,0.4815793179162734,3.3698194379672812,0.018954443385806402,0.030515391759624602,77.5934146341464,0.19341296972097802,NA,1.0643527180441499,0.75422394420988,0.15799781436661212,0.0024426877498626987,0.032881073089888024
1992,156,CAN,Canada,North America,High income,NA,0.8822998847496506,0.5925190274429455,0.8822998847496506,0.8822998847496506,FALSE,gg,925953812500,28224408.999999996,12930480.95703125,3.332233428955078,0.9276061058044434,0.7385174036026001,0.17514950037002563,0.22934414446353912,0.2903430461883545,-0.25991225242614746,0.6347717642784119,0.5205318927764893,0.906619429588318,0.5044095516204834,0.5130066275596619,0.008875117965100873,0.008835965589762868,28.831427993774415,0.4828020698336326,3.3614660419454974,0.0186168769986295,0.0146100214418352,77.8380487804878,0.18377419839763,NA,1.1076073582058799,0.783888891982028,0.15653262337139615,0.03043079376220703,0.032806845043239
1993,156,CAN,Canada,North America,High income,NA,0.947302476316434,0.62688327351925,0.947302476316434,0.947302476316434,FALSE,gg,947825937500,28547967,13034626.960754396,3.353247880935669,0.9116109609603882,0.722486138343811,0.17281736433506012,0.2387237399816513,0.2965890169143677,-0.2823914587497711,0.6045089960098267,0.4857264459133148,0.8674831390380859,0.5298935770988464,0.5028002858161926,0.029979456434741234,0.02953885683364706,28.805516986846925,0.5451948663131968,3.3605669308395307,0.0182175350392748,0.0128593525173328,77.7048780487805,0.184749885213182,NA,1.12053218247557,0.7682390564322781,0.1545998292957853,0.014197558164596558,0.03320117112017119
1994,156,CAN,Canada,North America,High income,NA,0.9748046648113822,0.6328607577035552,0.9748046648113822,0.9748046648113822,FALSE,gg,993124500000,28860733.999999996,13291092.872619629,3.37439489364624,0.909741461277008,0.695457935333252,0.16506949067115784,0.24271270632743835,0.3136635720729828,-0.293881893157959,0.5745134949684143,0.4827039241790771,0.8247406482696533,0.5478357076644897,0.521308958530426,0.054908666359424416,0.05345419100928149,28.591977920532226,0.35560238681297013,3.353126186191404,0.016966802573186498,0.014552261227865,77.8717073170732,0.195160940033233,NA,1.1156934841130701,0.758206098195391,0.14810268809797134,0.019781678915023804,0.034410923159473354
1995,156,CAN,Canada,North America,High income,NA,1.0008417295859533,0.6437680145162278,1.0008417295859533,1.0008417295859533,FALSE,gg,1042290125000,29164151.999999996,13502547.26409912,3.39567494392395,0.9201443791389464,0.6830571889877319,0.15614093840122223,0.2344120889902115,0.32533782720565796,-0.2906421720981598,0.5711615085601807,0.4973367750644684,0.834414005279541,0.5828222632408142,0.560173511505127,0.04505597319205405,0.04407044684554508,28.879245014190673,0.5069072805032152,3.363123171515,0.015540900711477701,0.0225172660453971,77.9773170731707,0.19380342728237998,NA,1.10652448651489,0.756932544993453,0.14060003768974452,0.03469565510749817,0.035738742720858134
1996,156,CAN,Canada,North America,High income,NA,1.00243884284641,0.6469434797879591,1.00243884284641,1.00243884284641,FALSE,gg,1068538625000,29457817,13636177.06298828,3.4170894622802734,0.9036338329315186,0.6767720580101013,0.14679133892059326,0.22758589684963224,0.33280622959136963,-0.2978583872318268,0.5764588713645935,0.5106219053268433,0.8683287501335144,0.5909309387207031,0.5589373111724854,0.02977215295644462,0.029337567048945294,30.012987995147704,0.662440961734134,3.4016302211452194,0.014037525810645499,0.0174510226181297,78.220243902439,0.189277232582103,NA,1.1518769902097399,0.761710981421995,0.13275381310994777,0.03494784235954285,0.036273516975137705
1997,156,CAN,Canada,North America,High income,NA,0.952724919122398,0.6164791835276527,0.952724919122398,0.952724919122398,FALSE,gg,1111285875000,29742382,13899702.072143557,3.4386391639709473,0.9143985509872437,0.6735061407089233,0.14851181209087372,0.24948440492153168,0.35620707273483276,-0.34213143587112427,0.5800365805625916,0.5172579884529114,0.8130529522895813,0.5630797147750854,0.5346775054931641,0.05040719945240126,0.04917789799324384,30.664431076049805,0.6399421890622792,3.4231033860295907,0.0124624320151167,0.0114425132091928,78.4124390243903,0.21218002084034002,0.277164390585459,1.17093820122506,0.753758704149874,0.136049380075757,0.014075636863708496,0.03736371468162839
1998,156,CAN,Canada,North America,High income,NA,0.9329018827321944,0.5888832893164411,0.9329018827321944,0.9329018827321944,FALSE,gg,1127568750000,30022073,14223676.681518557,3.46032452583313,0.9003674387931824,0.6862269639968872,0.15427401661872864,0.2434646338224411,0.363228976726532,-0.3491770029067993,0.5532323122024536,0.49421948194503784,0.7351495623588562,0.533776044845581,0.5191006064414978,0.027118827065159067,0.026757627335282308,31.10029001235962,0.7502308209784562,3.4372171442979673,0.012562939015686801,-0.00179362566796712,78.6236585365854,0.210452729764529,0.268338686646699,1.15546369333613,0.744388412743473,0.14171107760304183,0.014051973819732666,0.03755799108209483
1999,156,CAN,Canada,North America,High income,NA,0.8896566914072149,0.530700139990297,0.8896566914072149,0.8896566914072149,FALSE,gg,1208232000000,30302515,14615461.349487305,3.482146739959717,0.9184371829032898,0.6692983508110046,0.15350155532360077,0.23779818415641785,0.37924015522003174,-0.3437066674232483,0.5610558986663818,0.49418845772743225,0.7151092886924744,0.5277894735336304,0.5263115763664246,0.06339965172590518,0.06147099457808431,31.223874969482424,0.7826736197395221,3.44118302556215,0.0124170306410258,0.0190262033853637,78.8390243902439,0.206842428493616,0.27871739438862503,1.1395085111174799,0.731874747623068,0.14108452468257496,0.03553348779678345,0.03987233402904016
2000,156,CAN,Canada,North America,High income,NA,0.8043660849981602,0.4632812902607519,0.8043660849981602,0.8043660849981602,FALSE,gg,1284667375000,30588383,14952766.418457031,3.5041067600250244,0.9569842219352722,0.6538953185081482,0.14816859364509585,0.2381429374217987,0.42335668206214905,-0.36587944626808167,0.5811623334884644,0.5059269666671753,0.7536617517471313,0.5134587287902832,0.5147607326507568,0.05623434972024535,0.05471008274657236,31.550940074920653,0.7559773893248065,3.451603384895797,0.0111434980213748,0.0433540120081636,79.1668292682927,0.20614467711152099,0.29500037520466704,1.10691796036935,0.711105063635616,0.13702509562372106,0.05747723579406738,0.041998538301289086
2001,156,CAN,Canada,North America,High income,NA,0.8146203331810165,0.461454047598037,0.8146203331810165,0.8146203331810165,FALSE,gg,1273725250000,30880073,15074831.96258545,3.518916130065918,0.953096330165863,0.6573811769485474,0.15363772213459015,0.22775579988956451,0.40786170959472656,-0.3547276556491852,0.5734265446662903,0.5043030977249146,0.7414300441741943,0.5056019425392151,0.4944690763950348,-0.0034919222743329324,-0.0034980332651352725,31.676029930114748,0.8240724455846374,3.4555602412307462,0.0113335628281332,0.0165862113422375,79.3980487804878,0.19671394933313502,0.284475354619999,1.97192767630522,1.54641806759951,0.14230415930645696,0.05313405394554138,0.041247481830758624
2002,156,CAN,Canada,North America,High income,NA,0.7960406938461617,0.430567632910947,0.7960406938461617,0.7960406938461617,FALSE,gg,1282036250000,31178262.999999996,15427290.916442871,3.533787727355957,0.9518160223960876,0.6574026346206665,0.153555229306221,0.2276189625263214,0.40155771374702454,-0.3588680624961853,0.5817877650260925,0.5154008865356445,0.7655162811279297,0.49228203296661377,0.483347624540329,0.005129019246249313,0.005115910630823208,31.67137195587158,0.7368901134133474,3.455413179974471,0.0111686914736943,0.0123904949251077,79.5307317073171,0.197393454062916,0.275731410327833,1.9162675935986602,1.52211638142997,0.1423865378325267,0.04268965125083923,0.04111955338884659
2003,156,CAN,Canada,North America,High income,NA,0.7591179735835192,0.4059694902637743,0.7591179735835192,0.7591179735835192,FALSE,gg,1346111250000,31488048,15770746.231079102,3.548722505569458,0.9472402334213256,0.6457537412643433,0.15526747703552246,0.23763346672058103,0.3858205676078797,-0.3442184031009674,0.6679709553718567,0.5803186893463135,0.8634088039398193,0.5304080247879028,0.5245702862739563,0.03259762162973643,0.03207759017752877,31.781441192626954,0.710885796799896,3.4588825091246047,0.0111193730688338,0.0325467324330218,79.7151219512195,0.204666776118118,0.279074104477255,1.85657921469115,1.45544582392237,0.14414810396668867,0.04160216450691229,0.04274991101385516
2004,156,CAN,Canada,North America,High income,NA,0.7188939988665382,0.36679316419249086,0.7188939988665382,0.7188939988665382,FALSE,gg,1406270750000,31815493.999999996,16045999.52697754,3.563720464706421,0.9446457028388976,0.6393342614173889,0.152822807431221,0.24515245854854584,0.4018184244632721,-0.35247135162353516,0.7355556488037109,0.6445716023445129,0.938958466053009,0.5678556561470032,0.5595453977584839,0.042853675906298,0.04196087462009326,31.85966402053833,0.6595172175962162,3.461340758931582,0.0110418939142687,0.0326626600410312,79.9921951219512,0.213828605310678,0.283911197223378,1.879080240379,1.44189725721781,0.14178091351695232,0.04934707283973694,0.04420081454652253
2005,156,CAN,Canada,North America,High income,NA,0.7064040968211651,0.3623604555462546,0.7064040968211651,0.7064040968211651,FALSE,gg,1514082625000,32164308.999999996,16313701.629638672,3.5787816047668457,0.9658697247505188,0.6294353604316711,0.14915934205055237,0.25708094239234924,0.427031934261322,-0.3774384558200836,0.7934284806251526,0.7001606822013855,1.0171351432800293,0.5731117725372314,0.5639959573745728,0.04326563694088304,0.0423558290576492,31.848461933135987,0.7423885818722723,3.4609890898987823,0.0110710542420811,0.031228871270738902,80.1126829268293,0.22632042111098102,0.292129915241778,1.95889823948542,1.4854959351366401,0.13808828780847127,0.0495934784412384,0.0470733764247819
2006,156,CAN,Canada,North America,High income,NA,0.6991983183260234,0.33791103057321775,0.6991983183260234,0.6991983183260234,FALSE,gg,1522705125000,32536986.999999996,16594200.134277344,3.59390640258789,0.9401646852493286,0.6342618465423584,0.15421119332313538,0.264705628156662,0.4473274350166321,-0.4046192467212677,0.8897403478622437,0.7867094874382019,1.1016106605529783,0.5802315473556519,0.578650951385498,0.015805193312670142,0.015681591906561737,31.855823078155517,0.7087397894591771,3.461220193506679,0.0112252472932052,0.025738103868387402,80.5436585365854,0.235958930196569,0.288475544811015,2.12843737162345,1.5871420009969401,0.14298594602993017,0.04270818829536438,0.04679920500936366
2007,156,CAN,Canada,North America,High income,NA,0.6718147941794846,0.2990426967517103,0.6718147941794846,0.6718147941794846,FALSE,gg,1555354125000,32930794,16983242.03491211,3.609095335006714,0.9249067306518556,0.6394949555397034,0.15919962525367737,0.2630177438259125,0.4435384273529053,-0.398057758808136,0.9821832180023192,0.877188503742218,1.1669111251831057,0.6221370100975037,0.6288496851921082,0.016601482710193207,0.016465184528709518,31.82631103515625,0.6560441389850362,3.4602933387294987,0.0118579022996702,0.0327836135049434,80.5436585365854,0.239078762217461,0.286859019053535,NA,1.12088553744153,0.14734172295400716,0.04548066854476929,0.047230993731885114
