dv,model,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
p90p100,(4) Debt x civ,public_debt:growth,-0.01280901983238584,0.014677543905417614,-0.8726950445474679,0.38476545447908905,-0.041902458161789564,0.016284418497017887,108,4259
p90p100,(4) Debt x civ,public_debt:nonmil_g,-0.07109938795778552,0.04030489972260863,-1.7640383290149466,0.0805530937337542,-0.1509906914353173,0.008791915519746257,108,4259
p90p100,(5) Full,public_debt,0.01798765763785202,0.00918141197832424,1.959138494200874,0.05267422483866495,-2.1149372490622542e-4,0.03618680900061026,108,4259
p90p100,(5) Full,growth,0.012677466100907257,0.009939472119887141,1.2754667398826813,0.20488078079009306,-0.007024291973209473,0.032379224175023986,108,4259
p90p100,(5) Full,life_exp,-3.0309781521364887e-4,0.0011791472846626216,-0.2570483086855188,0.7976305570451724,-0.0026403722957862048,0.0020341766653589072,108,4259
p90p100,(5) Full,military_exp,0.19038350199813733,0.16196501907009866,1.1754606216280512,0.24239533686926842,-0.13065926402604253,0.5114262680223172,108,4259
p90p100,(5) Full,nonmil_g,0.04197812298767806,0.04632423534947437,0.9061805914548003,0.36685756359426747,-0.04984454795655649,0.1338007939319126,108,4259
p90p100,(5) Full,composite_inflation,-7.14488276590138e-5,3.814745653478887e-5,-1.8729643900073782,0.06377741438283693,-1.4706370445790635e-4,4.166049139878744e-6,108,4259
p90p100,(5) Full,trade_openness,0.006717453678757125,0.012003296248834497,0.5596340821305131,0.5768878738077577,-0.017075161857969718,0.030510069215483968,108,4259
p90p100,(5) Full,csh_i,-0.05402201111654677,0.02615969479416067,-2.0650856801511877,0.04130937794971784,-0.10587506446895523,-0.0021689577641383073,108,4259
p90p100,(5) Full,public_debt:growth,-0.007752023763387054,0.015813699587608292,-0.49020937323620245,0.6249801533669537,-0.03909751975893854,0.023593472232164434,108,4259
p90p100,(5) Full,public_debt:nonmil_g,-0.06306481291717425,0.039945655672945814,-1.578765246301526,0.11731447133020191,-0.14224403236542832,0.016114406531079803,108,4259
p99p100,(1) Baseline,public_debt,0.0031760404067077102,0.003977138387440273,0.7985742755991556,0.42628991198395316,-0.0047073378443216515,0.011059418657737073,108,4578
p99p100,(1) Baseline,growth,0.009069230406411262,0.007596081805081779,1.193935326018204,0.2351191094811971,-0.005987521524658134,0.02412598233748066,108,4578
p99p100,(1) Baseline,life_exp,-8.480235525413519e-4,0.0013794979965710069,-0.6147334426358492,0.540023773270343,-0.003582427901620535,0.0018863807965378314,108,4578
p99p100,(1) Baseline,public_debt:growth,-0.008718013998701432,0.006657391470371831,-1.3095240136471216,0.19313589526607275,-0.021914118839271513,0.004478090841868648,108,4578
p99p100,(2) Fiscal size,public_debt,0.0035862096464155517,0.004482719081919133,0.8000076696486255,0.42546254093677616,-0.0052993172508821115,0.012471736543713214,108,4464
p99p100,(2) Fiscal size,growth,0.011057701782501362,0.008355561698028214,1.323394187264611,0.1884990804819529,-0.005504471053471849,0.027619874618474573,108,4464
p99p100,(2) Fiscal size,life_exp,-4.77065555772963e-4,0.0013979665052835163,-0.34125678545939925,0.733573309320918,-0.00324807769309832,0.002293946581552394,108,4464
p99p100,(2) Fiscal size,csh_g,0.042689734150338665,0.027766306597704956,1.5374653449179738,0.12710406988104866,-0.01234790251702448,0.0977273708177018,108,4464
p99p100,(2) Fiscal size,inflation,-7.79459519739499e-5,3.785558112444004e-5,-2.0590346167906803,0.04189655086762869,-1.5298228107401944e-4,-2.909622873880358e-6,108,4464
p99p100,(2) Fiscal size,public_debt:growth,-0.010444601662292694,0.010870546332111958,-0.9608166271679457,0.3387905765577045,-0.031991910350873086,0.011102707026287698,108,4464
p99p100,(3) Mil vs civ,public_debt,0.003728942498654294,0.004420616613302738,0.8435344715108241,0.4007940461383913,-0.005033486532104,0.012491371529412588,108,4259
p99p100,(3) Mil vs civ,growth,0.0127944423423368,0.009236858260050173,1.3851508794579361,0.16886074698293183,-0.005514613169806599,0.031103497854480196,108,4259
p99p100,(3) Mil vs civ,life_exp,-7.732743874977545e-4,0.0014728003337884767,-0.5250368089669458,0.6006337728715008,-0.003692620155340042,0.002146071380344533,108,4259
p99p100,(3) Mil vs civ,military_exp,0.19585289434027184,0.1732879174732613,1.1302166775158595,0.2608887390863334,-0.1476338206528444,0.5393396093333881,108,4259
p99p100,(3) Mil vs civ,nonmil_g,0.03813689264863527,0.03432775692725911,1.1109637233055383,0.2690511818229805,-0.029906676874010864,0.10618046217128141,108,4259
p99p100,(3) Mil vs civ,composite_inflation,8.63004976702679e-6,2.5382277969650246e-5,0.3400029649563288,0.7345146680448528,-4.168202857035981e-5,5.8942128104413395e-5,108,4259
p99p100,(3) Mil vs civ,public_debt:growth,-0.009596760579854964,0.009215107665641565,-1.041416001642215,0.3000082107542062,-0.027862702640515435,0.00866918148080551,108,4259
p99p100,(4) Debt x civ,public_debt,0.014156969641067035,0.008380649491958254,1.689244927216144,0.09405754694270223,-0.0024549315547889895,0.03076887083692306,108,4259
p99p100,(4) Debt x civ,growth,0.015407611054324108,0.009337788088633829,1.6500279196824574,0.10184269259181396,-0.003101504887712608,0.03391672699636082,108,4259
p99p100,(4) Debt x civ,life_exp,-8.14882218693657e-4,0.0014784509617017509,-0.5511729775302779,0.5826535865192133,-0.0037454285113496747,0.002115664073962361,108,4259
p99p100,(4) Debt x civ,military_exp,0.20911365866017964,0.17374756619659143,1.2035487071143909,0.23139551485873833,-0.13528415984395784,0.5535114771643171,108,4259
p99p100,(4) Debt x civ,nonmil_g,0.07287902208930433,0.05074402634779688,1.43620889658608,0.1538332316647726,-0.02770444137356727,0.17346248555217592,108,4259
p99p100,(4) Debt x civ,composite_inflation,-1.7850515937339665e-6,2.5547788490120213e-5,-0.06987108079528206,0.9444254816957299,-5.24252004960046e-5,4.885509730853666e-5,108,4259
p99p100,(4) Debt x civ,public_debt:growth,-0.013516288386825276,0.009227213766108565,-1.4648287911645037,0.14587266320077943,-0.031806226838817696,0.004773650065167145,108,4259
p99p100,(4) Debt x civ,public_debt:nonmil_g,-0.06031716767880032,0.0441526341740058,-1.3661057557990763,0.1747436522886971,-0.14783534835670117,0.027201012999100528,108,4259
p99p100,(5) Full,public_debt,0.012494215570888508,0.008206862511665459,1.5224107328627583,0.13082888497018394,-0.0037732096808870148,0.028761640822664032,108,4259
p99p100,(5) Full,growth,0.01216428739659099,0.009477253073649347,1.2835245932613852,0.2020554995571801,-0.006621272340593393,0.030949847133775375,108,4259
p99p100,(5) Full,life_exp,-5.515088749417087e-4,0.0014264602441094816,-0.38662758195971153,0.6997926443048863,-0.0033790005458081904,0.0022759827959247724,108,4259
p99p100,(5) Full,military_exp,0.2173526933759162,0.1700043984550123,1.2785121758683997,0.20380957138691497,-0.11962551728729023,0.5543309040391227,108,4259
p99p100,(5) Full,nonmil_g,0.05073012850716819,0.04824292439017285,1.0515558322476402,0.2953505548251949,-0.04489571697625202,0.1463559739905884,108,4259
p99p100,(5) Full,composite_inflation,-3.845789369906562e-5,2.732146040362188e-5,-1.4076075411388858,0.16211903662055263,-9.261376803636693e-5,1.569798063823569e-5,108,4259
p99p100,(5) Full,trade_openness,0.014926376692461926,0.009343496792468124,1.5975150443134107,0.11307277985991926,-0.0035940548909391863,0.033446808275863035,108,4259
p99p100,(5) Full,csh_i,-0.06309796586401069,0.023309735395988112,-2.7069361703209474,0.007895337010927544,-0.10930190526885786,-0.01689402645916352,108,4259
p99p100,(5) Full,public_debt:growth,-0.00745284782622229,0.009483168689441155,-0.7859026945835641,0.4336453753252544,-0.026250133340166636,0.011344437687722055,108,4259
p99p100,(5) Full,public_debt:nonmil_g,-0.05362953623709019,0.0447556875755718,-1.198273094263931,0.23343365012877035,-0.1423430733765937,0.03508400090241331,108,4259
gini,(1) Baseline,public_debt,0.6926644256769702,0.4441221432363412,1.5596259637708862,0.12194573321613048,-0.1882497396550964,1.5735785910090367,102,3441
gini,(1) Baseline,growth,0.02457224746834985,0.541976857558263,0.04533818580198014,0.9639263949204362,-1.0504362797492737,1.0995807746859734,102,3441
gini,(1) Baseline,life_exp,0.013895581354521775,0.04798022751193246,0.2896105765873246,0.77270205137834,-0.08127297242016447,0.10906413512920803,102,3441
gini,(1) Baseline,public_debt:growth,0.38460535579510696,0.9517203769303959,0.4041159200936549,0.6869735446721283,-1.5031274993240094,2.2723382109142234,102,3441
gini,(2) Fiscal size,public_debt,0.7855696160253819,0.4170811750665418,1.8834933413143158,0.062482014152141455,-0.04170891715493785,1.6128481492057016,102,3411
gini,(2) Fiscal size,growth,0.3858412073123074,0.592680317572274,0.6510106643878152,0.5165035322851509,-0.7897373924358395,1.5614198070604544,102,3411
gini,(2) Fiscal size,life_exp,0.013435522025413621,0.04814922063154063,0.2790392419480316,0.7807796854656112,-0.08206822880074517,0.10893927285157241,102,3411
