year,ifs,iso,country,region,income_group,lending_category,pvd,hhd,gg,cg,pop,emp,hc,ctfp,labsh,pl_c,pl_i,pl_g,pl_x,pl_m,debt,debt_imp,rgdpc,population,growth,log_growth
1952,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.12841726051521982,6973375.096554041,2923521.9955444336,2.52152681350708,NA,0.6329604387283325,0.08711390197277069,0.122788168489933,0.06658300757408142,0.1174042597413063,0.112262524664402,0.12841726051521982,0.12841726051521982,6323,6927.772,0.0019014419267944858,0.001899636474373614
1953,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.15711376761233084,6978117.2595039075,2891931.533813477,2.506112575531006,NA,0.6329604387283325,0.07291338592767715,0.12088947743177414,0.05958176776766777,0.10170147567987442,0.10897472500801086,0.15711376761233084,0.15711376761233084,6594,6932.483,0.042859402182508305,0.04196636557306324
1954,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.13668105152537463,6985893.830770478,2976327.657699585,2.4907925128936768,0.6549066305160522,0.6329604387283325,0.07145591825246811,0.1151210144162178,0.05793536081910133,0.09830903261899948,0.1048835515975952,0.13668105152537463,0.13668105152537463,7261,6940.209,0.10115256293600243,0.09635741574857035
1955,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.11378485868571804,6992613.974845486,3126478.910446167,2.4755661487579346,0.6647175550460815,0.6329604387283325,0.07344233244657516,0.11643347889184952,0.06004122644662857,0.1017189845442772,0.10222605615854265,0.11378485868571804,0.11378485868571804,8054,6946.885,0.10921360694119267,0.10365130203115269
1956,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.10454996473206976,6998124.099406665,3221801.0425567627,2.4610722064971924,0.6919131875038147,0.6329604387283325,0.07627086341381073,0.11737041920423508,0.06728246062994003,0.10435273498296738,0.10447251051664352,0.10454996473206976,0.10454996473206976,8603,6952.359,0.06816488701266452,0.06594211720994868
1957,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.07946613135511918,7011713.660094879,3295096.6358184814,2.4466633796691895,0.7019892334938049,0.6329604387283325,0.07973651587963104,0.12158729881048204,0.07447312027215958,0.10589034855365752,0.1068051978945732,0.07946613135511918,0.07946613135511918,9111,6965.86,0.05904916889457166,0.057371495092510244
1958,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.10918442883952909,7033353.378373694,3321739.912033081,2.43233871459961,0.7284832000732422,0.6329604387283325,0.08008868992328644,0.11868786811828612,0.07298040390014648,0.1076485812664032,0.10761459916830064,0.10918442883952909,0.10918442883952909,9416,6987.358,0.033476018000219515,0.03292789522625427
1959,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.12995014721960002,7060503.701189697,3371424.674987793,2.418097972869873,0.7258021831512451,0.6329604387283325,0.08240950107574463,0.12282680720090866,0.07365549355745316,0.10923049598932266,0.10638950020074844,0.12995014721960002,0.12995014721960002,9645,7014.331,0.024320305862361936,0.02402927639971687
1960,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.13128938479186503,7093827.9553846605,3440428.2569885254,2.4039406776428223,0.7404819130897522,0.6329604387283325,0.08328482508659363,0.1264440417289734,0.07584719359874725,0.11467526853084564,0.09530900418758392,0.13128938479186503,0.13128938479186503,10391,7047.437,0.07734577501296008,0.07450040051281721
1961,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.11847560704705166,7132945.519984975,3459298.1338500977,2.4269816875457764,0.7581417560577393,0.6329604387283325,0.08540951460599899,0.14040954411029816,0.07885097712278366,0.12271324545145036,0.10148397088050842,0.11847560704705166,0.11847560704705166,10882,7086.299,0.04725242998748917,0.046170001193223995
1962,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.11480847469083892,7176797.567919043,3443099.021911621,2.4502434730529785,0.7615970373153687,0.6329604387283325,0.08858626335859299,0.1467048078775406,0.08355026692152023,0.1260913461446762,0.11321447789669035,0.11480847469083892,0.11480847469083892,11078,7129.864,0.018011394964161,0.017851111547178493
1963,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.11594311414418128,7223046.616032425,3419533.7295532227,2.4737284183502197,0.7755377292633057,0.6329604387283325,0.0914674699306488,0.15051257610321045,0.08876289427280426,0.12693829834461212,0.11468376964330672,0.11594311414418128,0.11594311414418128,11454,7175.811,0.0339411446109406,0.033377854360753356
1964,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.1154315932025504,7271352.841312115,3413850.784301758,2.4974381923675537,0.7884591221809387,0.6329604387283325,0.09581897407770155,0.15065841376781464,0.09206993132829666,0.1321248859167099,0.11861240118741988,0.1154315932025504,0.1154315932025504,12062,7223.801,0.053081892788545484,0.051721001057129457
1965,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.10992227452133264,7318750.472010421,3390900.6118774414,2.5213754177093506,0.7931070327758789,0.6329604387283325,0.10001230239868164,0.1606813222169876,0.09777799248695374,0.13910499215126038,0.12434374541044237,0.10992227452133264,0.10992227452133264,12328,7270.889,0.022052727574199966,0.021813082989019583
1966,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.10448452696103416,7370264.37694537,3362745.2850341797,2.545542001724243,0.8089288473129272,0.6329604387283325,0.10259930044412612,0.1658121645450592,0.10171658545732498,0.14169010519981384,0.12882182002067566,0.10448452696103416,0.10448452696103416,12930,7322.066,0.04883192731992213,0.04767709476595139
1967,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.11601727692539164,7425558.092936007,3307928.8005828857,2.5666821002960205,0.8307366967201233,0.6329604387283325,0.10609103739261629,0.1680176854133606,0.10942694544792177,0.1449655145406723,0.1347246915102005,0.11601727692539164,0.11601727692539164,13225,7376.998,0.022815158546017015,0.022558784960596965
1968,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.12440100593360572,7464215.840521548,3264507.293701172,2.583219289779663,0.8472515344619751,0.6329604387283325,0.10874471813440324,0.17095166444778442,0.11358482390642166,0.1486613303422928,0.13799892365932465,0.12440100593360572,0.12440100593360572,13742,7415.403,0.039092627599243854,0.0383478588645211
1969,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,NA,0.12472418205495704,7490036.629797963,3258476.972579956,2.599862813949585,0.8806085586547852,0.6329604387283325,0.11368604004383089,0.17191873490810394,0.12186933308839798,0.15471266210079193,0.1480545550584793,0.12472418205495704,0.12472418205495704,14555,7441.055,0.05916169407655363,0.05747774058870228
1970,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.185476801176489,0.11991961985235128,7516239,3265043.258666992,2.6166138648986816,0.928656041622162,0.6329604387283325,0.11887727677822112,0.18134813010692596,0.12798599898815155,0.16438671946525574,0.15869881212711334,0.185476801176489,0.185476801176489,15537,7467.086,0.06746822397801443,0.06528969891227757
1971,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.17294044216480964,0.10591753655655896,7550339.999999999,3301126.24168396,2.633699417114258,0.9275850057601928,0.6329604387283325,0.13086555898189545,0.20209060609340668,0.14306916296482086,0.17989817261695862,0.17544721066951752,0.17294044216480964,0.17294044216480964,16259,7500.482,0.046469717448670914,0.04542232550355401
1972,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.1659026300992523,0.09863286625693692,7581117,3319701.910018921,2.6508970260620117,0.9320659637451172,0.6329604387283325,0.1518855094909668,0.23312953114509585,0.16564710438251495,0.2035267949104309,0.19715705513954165,0.1659026300992523,0.1659026300992523,17169,7544.201,0.05596900178362753,0.054458830481656985
1973,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.16603004681840075,0.09826597334670084,7607064.999999999,3358950.614929199,2.6682064533233643,0.9254910945892334,0.6329604387283325,0.19273248314857483,0.2855987250804901,0.2217981070280075,0.24942761659622192,0.2316163033246994,0.16603004681840075,0.16603004681840075,17908,7586.115,0.043042693226163435,0.04214210828364414
1974,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.16729631995322602,0.09424919783624794,7626290,3405431.747436523,2.685628890991211,0.9221671223640442,0.6329604387283325,0.2222314029932022,0.32801032066345215,0.26010754704475403,0.2649708092212677,0.2398201823234558,0.16729631995322602,0.16729631995322602,18583,7599.038,0.03769265132901497,0.036999643912794596
1975,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.2271612813440819,0.14515833950879842,7637689,3394333.839416504,2.703165292739868,0.9419438242912292,0.6329604387283325,0.2592293620109558,0.34510305523872375,0.3086969554424286,0.3044460415840149,0.2716037333011627,0.2271612813440819,0.2271612813440819,18564,7578.903,-0.0010224398643921865,-0.0010229629125843016
1976,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.2604566605982506,0.17520468735433586,7640749,3413128.137588501,2.7208163738250732,0.930892527103424,0.6329604387283325,0.27297621965408325,0.34971022605895996,0.32317301630973816,0.30147629976272583,0.2746712863445282,0.2604566605982506,0.2604566605982506,19448,7565.525,0.047619047619047616,0.04652001563489291
1977,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.28333873100089585,0.1948527276009695,7636576,3451448.2021331787,2.7385823726654053,0.9250060319900512,0.6329604387283325,0.3166477680206299,0.3989258706569672,0.3661612570285797,0.34849926829338074,0.31681278347969055,0.28333873100089585,0.28333873100089585,20350,7568.43,0.04638009049773756,0.04533667487478181
1978,122,AUT,Austria,Europe & Central Asia,High income,NA,NA,NA,0.31975046166908516,0.22331153322761135,7627758.999999999,3467476.8447875977,2.75646448135376,0.9137719869613647,0.6329604387283325,0.3819478154182434,0.4760712385177612,0.45333507657051086,0.4089042842388153,0.3698742389678955,0.31975046166908516,0.31975046166908516,20293,7562.305,-0.002800982800982801,-0.0028049128937722894
