country,iso,debt_obs,debt_missing,debt_pct_obs,n_from_gg,n_from_cg,max_consec_gap,reason,gini_obs,gini_missing,gini_pct_obs,gini_mean_sd
Togo,NA,NA,NA,NA,NA,NA,NA,gini missing: 21 of 36,15,21,41.7,2.98
Trinidad and Tobago,NA,NA,NA,NA,NA,NA,NA,gini missing: 14 of 36,22,14,61.1,3.12
Tunisia,NA,NA,NA,NA,NA,NA,NA,gini missing: 1 of 36,35,1,97.2,2.37
Turkey,NA,NA,NA,NA,NA,NA,NA,gini missing: 3 of 36,33,3,91.7,1.55
Turkmenistan,NA,NA,NA,NA,NA,NA,NA,gini missing: 18 of 36,18,18,50,2.24
Turks and Caicos Islands,NA,NA,NA,NA,NA,NA,NA,gini missing: 35 of 36,1,35,2.8,6.07
Tuvalu,NA,NA,NA,NA,NA,NA,NA,gini missing: 19 of 36,17,19,47.2,4.08
Uganda,NA,NA,NA,NA,NA,NA,NA,gini missing: 5 of 36,31,5,86.1,2.38
United Arab Emirates,NA,NA,NA,NA,NA,NA,NA,gini missing: 25 of 36,11,25,30.6,3.55
Uzbekistan,NA,NA,NA,NA,NA,NA,NA,gini missing: 4 of 36,32,4,88.9,1.79
Vanuatu,NA,NA,NA,NA,NA,NA,NA,gini missing: 22 of 36,14,22,38.9,4.06
Vietnam,NA,NA,NA,NA,NA,NA,NA,gini missing: 8 of 36,28,8,77.8,1.39
Yemen,NA,NA,NA,NA,NA,NA,NA,gini missing: 13 of 36,23,13,63.9,3.1
Yugoslavia,NA,NA,NA,NA,NA,NA,NA,gini missing: 29 of 36,7,29,19.4,3.37
Zimbabwe,NA,NA,NA,NA,NA,NA,NA,gini missing: 11 of 36,25,11,69.4,3.04
