dv,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
gini,Upper middle income,nonmil_g,1.8741484691077301,3.349091104864497,0.5595991301596908,0.582290492509421,-5.135579773778563,8.883876711994024,19,602
gini,Upper middle income,composite_inflation,-0.010970125863437895,0.004365047378145575,-2.5131745232278297,0.02114443657507325,-0.020106275024528504,-0.0018339767023472838,19,602
gini,Upper middle income,public_debt:growth,1.714205852816421,1.349495835273695,1.2702564972857127,0.21932899022542945,-1.110321391735256,4.538733097368098,19,602
gini,Lower middle income,public_debt,-0.6765428501017464,0.8724048642936099,-0.7754918361780871,0.4459499761799838,-2.4812498119893194,1.1281641117858268,23,779
gini,Lower middle income,growth,0.005930088929481381,1.345167647818475,0.004408438560872691,0.9965206006509836,-2.776761203019697,2.7886213808786597,23,779
gini,Lower middle income,life_exp,-0.11283491787724201,0.12833976489978408,-0.8791890647871355,0.38839218162304523,-0.3783259492565718,0.15265611350208777,23,779
gini,Lower middle income,military_exp,46.16725261163261,24.691008554474244,1.869800195070066,0.07429479641270548,-4.909990143502355,97.24449536676758,23,779
gini,Lower middle income,nonmil_g,-3.8246209562388946,5.957300395434158,-0.6420057244671078,0.5272170913064234,-16.148235756806173,8.498993844328382,23,779
gini,Lower middle income,composite_inflation,-0.7708649442103958,1.0380902883538683,-0.7425798630991722,0.4652532165826959,-2.9183183195157296,1.3765884310949383,23,779
gini,Lower middle income,public_debt:growth,-1.2832138925310361,2.280816388865009,-0.5626116590514308,0.579142493770901,-6.001442073325128,3.4350142882630554,23,779
gini,Low income,public_debt,1.4030332718959357,0.6608836657386974,2.1229655756852557,0.043438559978057574,0.04456744145182712,2.7614991023400446,26,818
gini,Low income,growth,-0.0674156151170047,0.72824470043535,-0.0925727507206069,0.9269526204728002,-1.5643440353975264,1.429512805163517,26,818
gini,Low income,life_exp,0.14668688554147408,0.06339440078136271,2.313877625365906,0.028839720625950152,0.01637782849025829,0.2769959425926899,26,818
gini,Low income,military_exp,-15.673359283703777,12.398310717910965,-1.2641528059997384,0.21739128997390145,-41.158451953811216,9.811733386403661,26,818
gini,Low income,nonmil_g,-5.64419620968784,2.722667929612594,-2.0730387824015497,0.048216741943455106,-11.240720290655368,-0.04767212872031301,26,818
gini,Low income,composite_inflation,0.14328518804812976,0.5177406526689285,0.27675089315374674,0.7841596707089467,-0.9209459650950275,1.207516341191287,26,818
gini,Low income,public_debt:growth,-0.1677409123538827,1.6765601274043416,-0.10005063917008451,0.921071612336541,-3.613959609888352,3.2784777851805864,26,818
