spec,iso,country,income_group,status,best_order,n_obs,r2,adj_r2,aic,bic,sigma,lr_dd,sum_phi,f_stat,f_pvalue,ect_coef,ecm_r2
base,IDN,Indonesia,Upper middle income,ok,"(1,0)",42,0.1555125773288964,0.1122055300124295,-219.16342665472553,-212.21274818159205,0.016802777902172352,-0.03174670247692178,-0.1096953032418246,NA,NA,-1.1096953032418246,0.5498887102249972
base,IND,India,Lower middle income,ok,"(1,0)",71,0.021578957854209335,-0.007198131620666626,-429.10584323535534,-420.05512372719005,0.011383815663718867,-0.01770601593119296,0.054390388863886745,NA,NA,-0.9456096111361136,0.47444374307592174
base,IRL,Ireland,High income,ok,"(1,0)",47,0.3170192834666256,0.28597470544238146,-300.39051483459565,-292.9899244277554,0.009403157826575826,-0.03364269664119012,-0.2905286790173502,NA,NA,-1.2905286790173502,0.6817780987260874
base,IRN,Iran,Lower middle income,ok,"(1,0)",42,0.19555123194756704,0.15429744897051922,-227.39258233701761,-220.44190386388414,0.015234736018546646,-0.002437734980318684,-0.45040722224645885,NA,NA,-1.450407222246459,0.7172073753361257
base,ISL,Iceland,High income,ok,"(1,0)",42,0.1318429659132788,0.08732209237037003,-245.41127712257423,-238.46059864944075,0.012293489505244271,-0.02798510503887688,-0.06412669036154213,NA,NA,-1.0641266903615416,0.6038476314671819
base,ISR,Israel,High income,ok,"(1,0)",39,0.5771094513051523,0.5536155319332163,-368.8770145678509,-362.2227679833323,0.002007884143270584,0.0012742160026964944,0.7592056852918811,2.472122868764721,0.4353631625998006,-0.24079431470811946,0.12075557012880943
base,ITA,Italy,High income,ok,"(1,0)",48,0.1399484223963235,0.10172390783616003,-382.69364815539143,-375.20884411175984,0.004268918449866013,-0.0028428261243976603,0.36695354685841913,10.9071115204463,9.61035308338131e-4,-0.6330464531415811,0.3264907088351763
base,JAM,Jamaica,Upper middle income,ok,"(1,0)",42,0.10263886885206834,0.056620349306020445,-321.62623605348983,-314.6755575803564,0.004961702233385539,0.003623095475221675,-0.29649820933195714,NA,NA,-1.2964982093319575,0.6517134962963091
base,JOR,Jordan,Lower middle income,ok,"(1,1)",42,0.303196546209821,0.24818574722638576,-286.05600910963705,-277.3676610182202,0.00749609468404008,0.02888684580066678,0.48319681800211844,8.02637721299143,0.00883450171221172,-0.516803181997882,0.2982718511871734
base,JPN,Japan,High income,ok,"(1,1)",67,0.15248817935356587,0.11213047360849748,-463.40892371586295,-452.38546061890816,0.00729138326632119,0.009020273000370773,0.24567192096795581,NA,NA,-0.7543280790320445,0.44072882773593014
