spec,iso,country,income_group,term,estimate,std.error,statistic,p.value,conf.low,conf.high
ctrl,GTM,Guatemala,Lower middle income,d_gov,-0.047878404515659834,0.23145371909712362,-0.20685951689360796,0.8379399822041931,-0.501527693946022,0.4057708849147024
ctrl,GTM,Guatemala,Lower middle income,d_log_gdp,-0.01940066964648923,0.06379966032547708,-0.3040873501130847,0.7637954789640728,-0.1444480038844243,0.10564666459144584
ctrl,GUY,Guyana,Lower middle income,(Intercept),-0.001017804266883576,0.0011949290956907526,-0.851769590810084,0.40351899519874634,-0.003359865294437451,0.0013242567606702989
ctrl,GUY,Guyana,Lower middle income,"L(dy, 1)",-0.1690918022102257,0.17947617671159266,-0.9421406523604856,0.3563521783082185,-0.5208651085649473,0.18268150414449588
ctrl,GUY,Guyana,Lower middle income,dd,-0.012824546784537219,0.006362456387131943,-2.015659676736621,0.05621150127476369,-0.02529496130331583,-3.5413226575861136e-4
ctrl,GUY,Guyana,Lower middle income,d_inf,-0.0026198097501069534,0.0016077137494358868,-1.629525001590731,0.11743805587327924,-0.0057709286990012916,5.313091987873848e-4
ctrl,GUY,Guyana,Lower middle income,d_gov,-0.016592626861376476,0.026513043454807487,-0.625828826089289,0.537866369672185,-0.06855819203279914,0.0353729383100462
ctrl,GUY,Guyana,Lower middle income,"L(d_gov, 1)",-0.05071684869082394,0.03983978585894036,-1.2730201128689722,0.21629935047105886,-0.12880282897434706,0.027369131592699165
ctrl,GUY,Guyana,Lower middle income,d_log_gdp,-0.009914073735620641,0.0172955065074019,-0.5732167329923381,0.5723112242323593,-0.043813266490128365,0.02398511901888708
ctrl,HND,Honduras,Lower middle income,(Intercept),-0.0014218873468321072,0.0010157676655498,-1.3998155238210783,0.17551266142560396,-0.003412791971309715,5.690172776455008e-4
ctrl,HND,Honduras,Lower middle income,"L(dy, 1)",-0.32352637768199166,0.19376562303881203,-1.6696789276041397,0.10915203773052738,-0.7033069988380632,0.056254243474079924
ctrl,HND,Honduras,Lower middle income,dd,-0.01236541809210852,0.0051602514701462885,-2.3962820733924373,0.0254990435286436,-0.022479510973595247,-0.0022513252106217945
ctrl,HND,Honduras,Lower middle income,d_inf,-0.007962179214258035,0.01735590933371201,-0.4587589771970258,0.6509073298925769,-0.041979761508333574,0.026055403079817505
ctrl,HND,Honduras,Lower middle income,"L(d_inf, 1)",-0.020567560416853425,0.015357318177822186,-1.3392677144994922,0.1941568634489666,-0.050667904045384904,0.009532783211678057
ctrl,HND,Honduras,Lower middle income,d_gov,0.037160335024382055,0.11235512417753897,0.3307400111601747,0.743970196465504,-0.1830557083635943,0.25737637841235844
ctrl,HND,Honduras,Lower middle income,d_log_gdp,-0.033516630097297086,0.025158300005959516,-1.3322295262143167,0.19642153715924848,-0.08282689810897773,0.01579363791438356
ctrl,HRV,Croatia,Upper middle income,(Intercept),0.003088329591034473,0.0016475702941465492,1.87447516018383,0.07362209816856913,-1.4090818549276343e-4,0.00631756736756171
ctrl,HRV,Croatia,Upper middle income,"L(dy, 1)",-0.0033541794814423427,0.1963221837981541,-0.017085076258579596,0.9865160905220985,-0.3881456597258244,0.3814373007629397
ctrl,HRV,Croatia,Upper middle income,dd,-0.022129418611891546,0.016634399508437963,-1.330340695536751,0.19644718491555416,-0.05473284164842995,0.010474004424646858
ctrl,HRV,Croatia,Upper middle income,d_inf,6.064773797358713e-4,7.82712847769083e-4,0.7748402002911738,0.4463273928651659,-9.276398018915312e-4,0.002140594561363274
ctrl,HRV,Croatia,Upper middle income,d_gov,0.18132933402705328,0.12074631232616198,1.5017380699564837,0.1467703228776619,-0.05533343813222419,0.41799210618633076
ctrl,HRV,Croatia,Upper middle income,d_log_gdp,-0.010621827939361441,0.01905830815366862,-0.5573332036462427,0.5826837415614825,-0.047976111920551935,0.02673245604182905
ctrl,HTI,Haiti,Low income,(Intercept),-7.169434825800543e-4,0.001101881142237981,-0.6506540997007197,0.5220078000528019,-0.002876630521366497,0.0014427435562063885
ctrl,HTI,Haiti,Low income,"L(dy, 1)",-0.21241253858486495,0.19725862988771606,-1.0768225385412786,0.29322655490049254,-0.5990394531647885,0.17421437599505854
ctrl,HTI,Haiti,Low income,dd,-7.128940922025099e-4,0.0034252262969082206,-0.20813050887937054,0.8370418322485003,-0.007426337634142622,0.006000549449737602
ctrl,HTI,Haiti,Low income,d_inf,-0.0045268782419123615,0.0038752596597879767,-1.1681483666464911,0.2552506750588785,-0.012122387175096797,0.0030686306912720727
ctrl,HTI,Haiti,Low income,d_gov,-0.010021896748738324,0.1424761476061513,-0.07034087401381729,0.944557846443094,-0.28927514605679483,0.2692313525593182
ctrl,HTI,Haiti,Low income,"L(d_gov, 1)",-0.13991386348578042,0.09376029811227829,-1.4922506252938004,0.14983567901803113,-0.32368404778584586,0.04385632081428503
ctrl,HTI,Haiti,Low income,d_log_gdp,-0.003701696605620213,0.015019853596003763,-0.2464535743946998,0.807616160882842,-0.03314060965378759,0.025737216442547166
ctrl,HUN,Hungary,Upper middle income,(Intercept),8.731974176091402e-4,0.002162001022335094,0.40388390596875545,0.6903814973614271,-0.003364324586167644,0.005110719421385924
ctrl,HUN,Hungary,Upper middle income,"L(dy, 1)",0.20889945620849867,0.19338770459503332,1.0802106403090517,0.29229872952961045,-0.1701404447977666,0.587939357214764
ctrl,HUN,Hungary,Upper middle income,dd,-0.0034010141349644072,0.02864994370161767,-0.11870927811883884,0.9066339059597013,-0.05955490379013504,0.05275287552020622
ctrl,HUN,Hungary,Upper middle income,d_inf,-0.12025238985382877,0.05084276071402086,-2.3651821452068966,0.027723673373384338,-0.21990420085330964,-0.020600578854347892
ctrl,HUN,Hungary,Upper middle income,"L(d_inf, 1)",0.08250675783509231,0.04147524108540203,1.9893014645822535,0.05985101547073852,0.0012152853077043446,0.16379823036248028
ctrl,HUN,Hungary,Upper middle income,d_gov,0.1930690751933417,0.17025225294877241,1.134017740437389,0.2695671236852503,-0.1406253405862522,0.5267634909729356
ctrl,HUN,Hungary,Upper middle income,"L(d_gov, 1)",-0.28172744160849034,0.15875410517745614,-1.7746151590447,0.09046081369603398,-0.5928854877563043,0.029430604539323668
ctrl,HUN,Hungary,Upper middle income,d_log_gdp,0.0482909175324925,0.051141882825949454,0.9442538065491329,0.35577807538647876,-0.05194717280636843,0.14852900787135342
ctrl,IDN,Indonesia,Lower middle income,(Intercept),0.013296583961896329,0.006067518239710844,2.1914369988824287,0.047234196424602366,0.001404248212063074,0.025188919711729582
ctrl,IDN,Indonesia,Lower middle income,"L(dy, 1)",-0.5175333225889832,0.23006486723664188,-2.24951044809747,0.042445778243443415,-0.9684604623728013,-0.06660618280516512
ctrl,IDN,Indonesia,Lower middle income,"L(dy, 2)",-0.6341551393443353,0.2605725970901037,-2.4336985025522466,0.030121121719299204,-1.1448774296409385,-0.123432849047732
ctrl,IDN,Indonesia,Lower middle income,dd,-0.06030906822229256,0.04067124734537099,-1.4828428474337574,0.161949403272373,-0.1400247130192197,0.019406576574634578
