spec,iso,country,income_group,variable,sum_beta,lr_multiplier
base,QAT,Qatar,High income,dd,3.103901635848584e-4,0.0011477323647136031
base,ROU,Romania,Upper middle income,dd,-0.053332881863645626,-0.04857481457675467
base,RUS,Russian Federation,Upper middle income,dd,-0.039000032403648244,-0.03684758481851875
base,RWA,Rwanda,Low income,dd,0.007962509597699615,0.16584587591102767
base,SAU,Saudi Arabia,High income,dd,0,0
base,SDN,Sudan,Low income,dd,0.0020969598955767757,0.007532189163479819
base,SEN,Senegal,Low income,dd,-0.003234985227730719,-0.007981634748498369
base,SGP,Singapore,High income,dd,0.09023742050817331,0.08802889501744174
base,SLE,Sierra Leone,Low income,dd,0.0011449222253097004,0.005221148639100125
base,SLV,El Salvador,Lower middle income,dd,-0.023075411868958246,-0.01842087652382216
base,STP,Sao Tome and Principe,Low income,dd,3.7426249100923716e-4,0.0019866988229613547
base,SUR,Suriname,Upper middle income,dd,-0.0024972354887186367,-0.0019894895375149597
base,SVK,Slovakia,High income,dd,0.009201094987255215,0.0066368300276519535
base,SVN,Slovenia,High income,dd,-0.01639208531405972,-0.01598957204961021
base,SWE,Sweden,High income,dd,0.04307568147533408,0.039914345074433144
base,SWZ,Swaziland,Lower middle income,dd,0.0021248097317825123,0.01605006663545919
base,SYC,Seychelles,Upper middle income,dd,-5.569264691195989e-4,-0.002133697259682149
base,TCD,Chad,Low income,dd,-1.1176451252045579e-4,-6.038406402141025e-4
base,TGO,Togo,Low income,dd,-0.0026201566076102874,-0.003962350121636192
base,THA,Thailand,Lower middle income,dd,0.006462860344904318,0.004506991705286344
base,TTO,Trinidad and Tobago,Upper middle income,dd,-0.005871511416759275,-0.004765950073081016
base,TUN,Tunisia,Lower middle income,dd,0.008921506082160033,0.03015399060182195
base,TUR,Turkey,Upper middle income,dd,0.0055503867594176625,0.009674288773476822
base,TWN,Taiwan,High income,dd,-0.00662773684646135,-0.0049676114563936835
base,TZA,Tanzania,Low income,dd,-6.190762925300499e-4,-0.0017274395548010683
base,UGA,Uganda,Low income,dd,-0.003636250623877512,-0.00836594643960734
base,UKR,Ukraine,Lower middle income,dd,0.019921318105960668,0.03598275304784571
base,URY,Uruguay,Upper middle income,dd,0.02127515095010626,0.02108738766300572
base,USA,United States,High income,dd,-0.007164257726761519,-0.00635810183100542
base,VCT,Saint Vincent and the Grenadines,Upper middle income,dd,-3.380186427439258e-4,-0.003976330767740609
base,VEN,Venezuela,Upper middle income,dd,4.183156175860091e-4,3.4437467121139543e-4
base,YEM,Yemen,Low income,dd,-0.007200308642151585,-0.006338712244722606
base,ZAF,South Africa,Upper middle income,dd,-0.03320557375345074,-0.03163739593436927
base,ZMB,Zambia,Low income,dd,5.865915175371416e-4,0.0010958161566190828
base,ZWE,Zimbabwe,Low income,dd,-0.0018569155716988694,0.0045039237541691
ctrl,ABW,Aruba,High income,dd,-0.003471636220572205,-0.02764973001938858
ctrl,ABW,Aruba,High income,d_inf,-0.008085311139221915,-0.06439518887304206
ctrl,ABW,Aruba,High income,d_gov,0.004118337997211544,0.032800364587946405
ctrl,ABW,Aruba,High income,d_log_gdp,0.0020782628680138184,0.01655225477525148
ctrl,AGO,Angola,Lower middle income,dd,0.008306208338533634,0.03946845207482568
ctrl,AGO,Angola,Lower middle income,d_inf,5.703638056053255e-5,2.7101868396817874e-4
ctrl,AGO,Angola,Lower middle income,d_gov,0.037254047293532475,0.17701934748938056
ctrl,AGO,Angola,Lower middle income,d_log_gdp,0.011609702232436488,0.05516560113694537
ctrl,ALB,Albania,Lower middle income,dd,0.012196163605616827,0.01252096698005436
ctrl,ALB,Albania,Lower middle income,d_inf,-0.0011519557374561715,-0.001182634164117825
ctrl,ALB,Albania,Lower middle income,d_gov,-0.006540159381969204,-0.006714334303306318
ctrl,ALB,Albania,Lower middle income,d_log_gdp,-0.014402276046722326,-0.014785831729543923
ctrl,ARE,United Arab Emirates,High income,dd,-0.006426423105874179,-0.0160471264744985
ctrl,ARE,United Arab Emirates,High income,d_inf,-0.007474725583398686,-0.018664794524550984
ctrl,ARE,United Arab Emirates,High income,d_gov,-0.6258512064280947,-1.5627843511562487
ctrl,ARE,United Arab Emirates,High income,d_log_gdp,-0.03528244866738467,-0.08810218480292635
ctrl,ARG,Argentina,Upper middle income,dd,0.027725089226683666,0.02157571211701899
ctrl,ARG,Argentina,Upper middle income,d_inf,-7.621011331114042e-4,-5.930684124269792e-4
ctrl,ARG,Argentina,Upper middle income,d_gov,0.018302097851166054,0.01424272402320071
ctrl,ARG,Argentina,Upper middle income,d_log_gdp,-0.01027528988824446,-0.007996248262180865
ctrl,ARM,Armenia,Lower middle income,dd,-0.0011450024969379185,-0.0010046780347895605
ctrl,ARM,Armenia,Lower middle income,d_inf,-0.0013435796361597578,-0.0011789187814438865
ctrl,ARM,Armenia,Lower middle income,d_gov,-0.03245219871901611,-0.028475056884866495
ctrl,ARM,Armenia,Lower middle income,d_log_gdp,-0.14194721491376702,-0.12455103749101008
ctrl,ATG,Antigua and Barbuda,Upper middle income,dd,-0.003498236078022084,-0.10614861854725108
ctrl,ATG,Antigua and Barbuda,Upper middle income,d_inf,-0.04605214667012762,-1.3973818922287657
ctrl,ATG,Antigua and Barbuda,Upper middle income,d_gov,0.0156549402147629,0.47502519560556583
ctrl,ATG,Antigua and Barbuda,Upper middle income,d_log_gdp,0.00556200872069651,0.16877064008313353
ctrl,AUS,Australia,High income,dd,-0.012017480330181804,-0.009253203894584242
ctrl,AUS,Australia,High income,d_inf,-0.1107858903562513,-0.08530277595169893
ctrl,AUS,Australia,High income,d_gov,-0.36290286400010113,-0.27942747583184185
ctrl,AUS,Australia,High income,d_log_gdp,0.04540982245852995,0.03496459611174513
ctrl,AUT,Austria,High income,dd,0.017692823344326775,0.01222412396045032
ctrl,AUT,Austria,High income,d_inf,-0.09639165701014514,-0.06659782563324178
ctrl,AUT,Austria,High income,d_gov,-0.36862875772089726,-0.254688782116392
ctrl,AUT,Austria,High income,d_log_gdp,-0.06044428851432524,-0.041761479280086604
ctrl,AZE,Azerbaijan,Upper middle income,dd,0.010577395102230222,0.018261584273137687
ctrl,AZE,Azerbaijan,Upper middle income,d_inf,8.565199422395105e-4,0.0014787583290267643
ctrl,AZE,Azerbaijan,Upper middle income,d_gov,0.02649876501895496,0.04574939537104817
ctrl,AZE,Azerbaijan,Upper middle income,d_log_gdp,0.001736540319435201,0.002998089518314481
ctrl,BDI,Burundi,Low income,dd,-0.0021247342844725866,-0.005184526683724018
ctrl,BDI,Burundi,Low income,d_inf,0.0025247712841839475,0.0061606499169382205
ctrl,BDI,Burundi,Low income,d_gov,-0.13008012204744268,-0.31740621342891717
ctrl,BDI,Burundi,Low income,d_log_gdp,-0.058280293508951066,-0.1422087171278583
ctrl,BEL,Belgium,High income,dd,-0.06990917565594398,-0.06415963518683596
ctrl,BEL,Belgium,High income,d_inf,-0.0546739828135356,-0.05017743033892475
ctrl,BEL,Belgium,High income,d_gov,-0.1505212486266791,-0.13814192928383714
ctrl,BEL,Belgium,High income,d_log_gdp,-0.16728676310517165,-0.15352859752254697
ctrl,BEN,Benin,Low income,dd,-0.012328849641219271,-0.048146401658335634
ctrl,BEN,Benin,Low income,d_inf,0.002783500374673862,0.010870075550854225
ctrl,BEN,Benin,Low income,d_gov,0.1288993185065533,0.5033752980126782
ctrl,BEN,Benin,Low income,d_log_gdp,0.0013262847983129015,0.005179383516806565
ctrl,BFA,Burkina Faso,Low income,dd,0.008716166784766886,0.025461388870626323
ctrl,BFA,Burkina Faso,Low income,d_inf,-0.03153798243920951,-0.09212775006589936
ctrl,BFA,Burkina Faso,Low income,d_gov,-0.07705737943493482,-0.2250975631367238
ctrl,BFA,Burkina Faso,Low income,d_log_gdp,-0.008412361008297889,-0.024573921110218316
ctrl,BGD,Bangladesh,Low income,dd,0.010746662528002618,0.016767420919247805
ctrl,BGD,Bangladesh,Low income,d_inf,1.6188004958834584e-5,2.5257245426697004e-5
ctrl,BGD,Bangladesh,Low income,d_gov,0.43522122258276463,0.6790515113896647
ctrl,BGD,Bangladesh,Low income,d_log_gdp,-0.05721429361546473,-0.08926828595837857
ctrl,BGR,Bulgaria,Lower middle income,dd,0.0709326527270921,0.054909744839973594
ctrl,BGR,Bulgaria,Lower middle income,d_inf,0.006961283399819038,0.005388805867918897
ctrl,BGR,Bulgaria,Lower middle income,d_gov,-0.3498560564392349,-0.27082741235843427
ctrl,BGR,Bulgaria,Lower middle income,d_log_gdp,0.046079959034585005,0.035671001937011955
ctrl,BHR,Bahrain,High income,dd,0.014343133303639278,0.031815483257305696
ctrl,BHR,Bahrain,High income,d_inf,0.021556431414418178,0.04781579228428876
ctrl,BHR,Bahrain,High income,d_gov,0.2600960762363405,0.5769368647426963
ctrl,BHR,Bahrain,High income,d_log_gdp,-1.8071596390985614e-4,-4.0085841791925994e-4
ctrl,BHS,Bahamas,High income,dd,-0.028405805577951294,-0.024524871068615568
ctrl,BHS,Bahamas,High income,d_inf,-3.991446759243884e-4,-3.446116565118016e-4
ctrl,BHS,Bahamas,High income,d_gov,-0.057420309297993244,-0.04957527708161119
ctrl,BHS,Bahamas,High income,d_log_gdp,-0.021013976848050734,-0.018142948680791696
ctrl,BLR,Belarus,Upper middle income,dd,0.018884830412817164,0.023758344674576076
ctrl,BLR,Belarus,Upper middle income,d_inf,0.0014566446917885247,0.0018325537428398226
ctrl,BLR,Belarus,Upper middle income,d_gov,0.0477207064941885,0.06003575188230037
ctrl,BLR,Belarus,Upper middle income,d_log_gdp,-0.11416537294654744,-0.14362746294638157
ctrl,BLZ,Belize,Lower middle income,dd,0.006584781302620301,0.005728977686269373
ctrl,BLZ,Belize,Lower middle income,d_inf,-0.0012329590390652019,-0.0010727151743183685
